epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_mit-movie
0.5,0.5694303085873526,0.4490291261637483,0.4517304188954953,0.8075313807028142
1.0,0.59619496120115,0.4772991850494527,0.4547368420554707,0.8565488564985266
1.5,0.6514465593748274,0.5293413173155043,0.5310274668884294,0.8939708939205484
2.0,0.660414653133495,0.5591397848964833,0.5294725956070034,0.8926315788969983
2.5,0.6126317160309598,0.4872340425048406,0.4523560208926558,0.8983050846953831
3.0,0.6878015064201201,0.5981087469952456,0.5554425228395944,0.9098532494255204
3.5,0.6904302472971136,0.5853051058030232,0.5723014256123804,0.9136842104759368
4.0,0.6391120339280962,0.5100830367237463,0.5122950819176331,0.8949579831429092
4.5,0.7037550634338073,0.6063454758610735,0.61228813554335,0.8926315788969983
5.0,0.6940457697133215,0.598816567997655,0.5911431513406762,0.8921775898016333
5.5,0.7012432683050779,0.622911694460981,0.5801838610331724,0.9006342494210801
6.0,0.6032739080954097,0.6075949366594509,0.5989528795313686,
6.5,0.5893296432465813,0.5953259532095679,0.5833333332835946,
7.0,0.6023030047211164,0.5836298931887348,0.6209761162534981,
7.5,0.5913220748917599,0.6144859812588452,0.5681581685246746,
8.0,0.6147407595841474,0.6373365041119798,0.5921450150563151,
8.5,0.6141814518832597,0.6298076922578749,0.5985552115086444,
9.0,0.594104621143241,0.5869822484710305,0.6012269938154516,
9.5,0.5984633361547977,0.5930372148361551,0.6038894574734404,
10.0,0.5943562230494961,0.6026097271151835,0.5861027189838087,
10.5,0.5960970453456993,0.5995260663010181,0.5926680243903804,
11.0,0.6012920238755828,0.6038186157020359,0.5987654320491298,
11.5,0.6021882535084195,0.6117084826264587,0.5926680243903804,
12.0,0.6111306170717368,0.6140979688869121,0.6081632652565615,
