step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_AVERAGE,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
10,0.07,0.9521,0.9335680603981018,1.9555555555555557e-05,,,,,,,,,,,,,,,,
20,0.14,0.1217,0.24609221518039703,1.8074074074074074e-05,,,,,,,,,,,,,,,,
30,0.21,0.0679,0.1631438136100769,1.6592592592592594e-05,,,,,,,,,,,,,,,,
35,0.25,,,,0.20524620335839702,0.349691257671219,0.2132027058064841,0.2782543826451036,0.26039575561634937,0.755034508789926,0.6635271191445486,0.38933599043314676,891.1445,6.828,0.214,,,,,
40,0.28,0.0504,0.10654949396848679,1.5111111111111112e-05,,,,,,,,,,,,,,,,
50,0.35,0.0449,0.1509842723608017,1.362962962962963e-05,,,,,,,,,,,,,,,,
60,0.42,0.0372,0.11792944371700287,1.2148148148148149e-05,,,,,,,,,,,,,,,,
70,0.49,0.037,0.15924274921417236,1.0666666666666667e-05,,,,,,,,,,,,,,,,
70,0.49,,,,0.2812803103330931,0.4267062314047572,0.48422847394856544,0.4748334566506261,0.37554347821209977,0.8251774727374961,0.7399577166519088,0.5153895914197923,823.5898,7.388,0.232,,,,,
80,0.56,0.0354,0.09462475031614304,9.185185185185186e-06,,,,,,,,,,,,,,,,
90,0.63,0.0335,0.08773896843194962,7.703703703703704e-06,,,,,,,,,,,,,,,,
100,0.71,0.0338,0.09066957980394363,6.222222222222223e-06,,,,,,,,,,,,,,,,
105,0.74,,,,0.474285714236213,0.48355695864505516,0.5711474118767653,0.5768809635038741,0.5389870435306585,0.8477389276889128,0.7648627450480222,0.6082085377899287,810.8406,7.505,0.236,,,,,
110,0.78,0.0322,0.11337781697511673,4.7407407407407415e-06,,,,,,,,,,,,,,,,
120,0.85,0.0313,0.08961452543735504,3.25925925925926e-06,,,,,,,,,,,,,,,,
130,0.92,0.0329,0.10040893405675888,1.777777777777778e-06,,,,,,,,,,,,,,,,
140,0.99,0.0304,0.133585587143898,2.9629629629629634e-07,,,,,,,,,,,,,,,,
140,0.99,,,,0.48903599498583206,0.5262299537418081,0.6087649401890213,0.5753739930456832,0.5997552019084489,0.8546784173510716,0.7809884730275071,0.6335467106070531,792.4475,7.679,0.241,,,,,
141,0.99,,,,,,,,,,,,,,,3455.935,5.247,0.041,4.483070918498714e+16,0.10959429098359237

