step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
360,6.0,0.0559,0.23788990080356598,2e-05,,,,,,,,,,,
360,6.0,,,,0.7559808611936586,0.7559808611936586,9.7491,10.257,0.103,,,,,,
365,6.083,0.0565,0.18166106939315796,2e-05,,,,,,,,,,,
370,6.167,0.0555,0.18428294360637665,2e-05,,,,,,,,,,,
375,6.25,0.053,0.21552227437496185,2e-05,,,,,,,,,,,
380,6.333,0.0512,0.1856001317501068,2e-05,,,,,,,,,,,
385,6.417,0.0529,0.2079027146100998,2e-05,,,,,,,,,,,
390,6.5,0.053,0.18063464760780334,2e-05,,,,,,,,,,,
390,6.5,,,,0.7648456056503495,0.7648456056503495,9.7452,10.261,0.103,,,,,,
395,6.583,0.0541,0.2059483677148819,2e-05,,,,,,,,,,,
400,6.667,0.0486,0.1349571943283081,2e-05,,,,,,,,,,,
405,6.75,0.0521,0.18971899151802063,2e-05,,,,,,,,,,,
410,6.833,0.0507,0.18255169689655304,2e-05,,,,,,,,,,,
415,6.917,0.0502,0.17484407126903534,2e-05,,,,,,,,,,,
420,7.0,0.0494,0.17066091299057007,2e-05,,,,,,,,,,,
420,7.0,,,,0.758293838812201,0.758293838812201,1.8791,53.217,0.532,,,,,,
425,7.083,0.0518,0.14822916686534882,2e-05,,,,,,,,,,,
430,7.167,0.0487,0.15989062190055847,2e-05,,,,,,,,,,,
435,7.25,0.0513,0.1672949194908142,2e-05,,,,,,,,,,,
440,7.333,0.0491,0.19704404473304749,2e-05,,,,,,,,,,,
445,7.417,0.0515,0.1482684165239334,2e-05,,,,,,,,,,,
450,7.5,0.048,0.17814958095550537,2e-05,,,,,,,,,,,
450,7.5,,,,0.7648456056503495,0.7648456056503495,1.8715,53.432,0.534,,,,,,
455,7.583,0.05,0.2418690174818039,2e-05,,,,,,,,,,,
460,7.667,0.0475,0.13544857501983643,2e-05,,,,,,,,,,,
465,7.75,0.0476,0.20929406583309174,2e-05,,,,,,,,,,,
470,7.833,0.0493,0.17669858038425446,2e-05,,,,,,,,,,,
475,7.917,0.0459,0.1783263087272644,2e-05,,,,,,,,,,,
480,8.0,0.047,0.16075611114501953,2e-05,,,,,,,,,,,
480,8.0,,,,0.7732696896871015,0.7732696896871015,1.88,53.191,0.532,,,,,,
485,8.083,0.0446,0.21264766156673431,2e-05,,,,,,,,,,,
490,8.167,0.0487,0.20626139640808105,2e-05,,,,,,,,,,,
495,8.25,0.0441,0.1964990645647049,2e-05,,,,,,,,,,,
500,8.333,0.0494,0.19616946578025818,2e-05,,,,,,,,,,,
505,8.417,0.0484,0.1525116264820099,2e-05,,,,,,,,,,,
510,8.5,0.0468,0.16682758927345276,2e-05,,,,,,,,,,,
510,8.5,,,,0.7684964199973662,0.7684964199973662,1.8768,53.281,0.533,,,,,,
515,8.583,0.0473,0.17679671943187714,2e-05,,,,,,,,,,,
520,8.667,0.0478,0.1707066297531128,2e-05,,,,,,,,,,,
525,8.75,0.0438,0.1993442177772522,2e-05,,,,,,,,,,,
530,8.833,0.0461,0.17872725427150726,2e-05,,,,,,,,,,,
535,8.917,0.0469,0.4353989064693451,2e-05,,,,,,,,,,,
540,9.0,0.0431,0.14020222425460815,2e-05,,,,,,,,,,,
540,9.0,,,,0.7706855791458556,0.7706855791458556,1.8756,53.317,0.533,,,,,,
545,9.083,0.0478,0.13941575586795807,2e-05,,,,,,,,,,,
550,9.167,0.046,0.13233418762683868,2e-05,,,,,,,,,,,
555,9.25,0.043,0.13426761329174042,2e-05,,,,,,,,,,,
560,9.333,0.0478,0.2167925387620926,2e-05,,,,,,,,,,,
565,9.417,0.0436,0.14183862507343292,2e-05,,,,,,,,,,,
570,9.5,0.044,0.18693220615386963,2e-05,,,,,,,,,,,
570,9.5,,,,0.7877358490062368,0.7877358490062368,1.8759,53.306,0.533,,,,,,
575,9.583,0.0413,0.16338147222995758,2e-05,,,,,,,,,,,
580,9.667,0.0438,0.15397359430789948,2e-05,,,,,,,,,,,
585,9.75,0.043,0.2033897489309311,2e-05,,,,,,,,,,,
590,9.833,0.046,0.16770777106285095,2e-05,,,,,,,,,,,
595,9.917,0.0437,0.15862686932086945,2e-05,,,,,,,,,,,
600,10.0,0.0444,0.15090355277061462,2e-05,,,,,,,,,,,
600,10.0,,,,0.7746478872735899,0.7746478872735899,1.8729,53.393,0.534,,,,,,
605,10.083,0.0432,0.12244144827127457,2e-05,,,,,,,,,,,
610,10.167,0.0436,0.15209516882896423,2e-05,,,,,,,,,,,
615,10.25,0.0401,0.13681696355342865,2e-05,,,,,,,,,,,
620,10.333,0.0415,0.18699070811271667,2e-05,,,,,,,,,,,
625,10.417,0.0375,0.16168580949306488,2e-05,,,,,,,,,,,
630,10.5,0.0419,0.14070291817188263,2e-05,,,,,,,,,,,
630,10.5,,,,0.8018867924024565,0.8018867924024565,1.876,53.305,0.533,,,,,,
635,10.583,0.0427,0.14530453085899353,2e-05,,,,,,,,,,,
640,10.667,0.0444,0.12537403404712677,2e-05,,,,,,,,,,,
645,10.75,0.0437,0.1352553516626358,2e-05,,,,,,,,,,,
650,10.833,0.0411,0.21245479583740234,2e-05,,,,,,,,,,,
655,10.917,0.0405,0.22380952537059784,2e-05,,,,,,,,,,,
660,11.0,0.0409,0.14360223710536957,2e-05,,,,,,,,,,,
660,11.0,,,,0.7670588234790577,0.7670588234790577,1.876,53.304,0.533,,,,,,
665,11.083,0.0421,0.13614730536937714,2e-05,,,,,,,,,,,
670,11.167,0.0389,0.12274277210235596,2e-05,,,,,,,,,,,
675,11.25,0.0415,0.13655433058738708,2e-05,,,,,,,,,,,
680,11.333,0.0362,0.17076422274112701,2e-05,,,,,,,,,,,
685,11.417,0.0418,0.12540601193904877,2e-05,,,,,,,,,,,
690,11.5,0.0402,0.6187191605567932,2e-05,,,,,,,,,,,
690,11.5,,,,0.782201405101872,0.782201405101872,1.8802,53.186,0.532,,,,,,
695,11.583,0.0427,0.14780955016613007,2e-05,,,,,,,,,,,
700,11.667,0.0416,0.1277647763490677,2e-05,,,,,,,,,,,
705,11.75,0.0392,0.12205903977155685,2e-05,,,,,,,,,,,
710,11.833,0.0399,0.15802738070487976,2e-05,,,,,,,,,,,
715,11.917,0.0425,0.19027724862098694,2e-05,,,,,,,,,,,
720,12.0,0.0376,0.12097308784723282,2e-05,,,,,,,,,,,
720,12.0,,,,0.7981220656773347,0.7981220656773347,1.877,53.277,0.533,,,,,,
720,12.0,,,,,,,,,587.0476,156.58,1.226,2.207462978695987e+16,22.07462978695987,0.1437637488047282
