step,epoch,loss,grad_norm,learning_rate
2,0.008,5.2987,309.9442138671875,2.905860416784857e-06
4,0.016,4.8462,382.63323974609375,5.811720833569714e-06
6,0.024,1.711,89.2916259765625,7.511540209718805e-06
8,0.033,1.0395,47.06950378417969,8.717581250354571e-06
10,0.041,0.7996,33.374664306640625,9.653059358338718e-06
12,0.049,0.7931,21.99977684020996,1.0417400626503662e-05
14,0.057,0.6291,56.32331085205078,1.1063641960658186e-05
16,0.065,0.6855,27.713787078857422,1.1623441667139428e-05
18,0.073,0.5328,23.978565216064453,1.2117220002652754e-05
20,0.082,0.5461,18.72991180419922,1.2558919775123575e-05
22,0.09,0.3802,19.72538185119629,1.2958485821956947e-05
24,0.098,0.4406,17.07027244567871,1.332326104328852e-05
26,0.106,0.5192,24.319387435913086,1.3658821718429571e-05
28,0.114,0.5167,56.206233978271484,1.3969502377443043e-05
30,0.122,0.2647,17.330081939697266,1.4258739151272667e-05
32,0.131,0.4553,61.293731689453125,1.4529302083924286e-05
34,0.139,0.3647,46.57126998901367,1.4783456892253185e-05
36,0.147,0.6033,28.724878311157227,1.502308041943761e-05
38,0.155,0.3765,23.877817153930664,1.5249744831471896e-05
40,0.163,0.2195,11.12763500213623,1.546478019190843e-05
42,0.171,0.2491,9.020365715026855,1.5669321753592135e-05
44,0.18,0.2631,17.003381729125977,1.5864346238741802e-05
46,0.188,0.4232,39.83283233642578,1.6050700047764813e-05
48,0.196,0.2418,8.791437149047852,1.622912146007338e-05
50,0.204,0.4167,16.384048461914062,1.640025829989258e-05
52,0.212,0.1951,11.343002319335938,1.656468213521443e-05
54,0.22,0.3009,219.74618530273438,1.6722899795586703e-05
56,0.229,0.1844,14.26542854309082,1.6875362794227904e-05
58,0.237,0.305,21.782629013061523,1.7022475096019177e-05
60,0.245,0.2812,28.85124969482422,1.7164599568057522e-05
62,0.253,0.4129,9.337455749511719,1.7302063372119663e-05
64,0.261,0.32,13.634883880615234,1.7435162500709142e-05
66,0.269,0.4151,12.685763359069824,1.7564165614890894e-05
68,0.278,0.2335,15.965194702148438,1.7689317309038043e-05
70,0.286,0.5575,19.591772079467773,1.7810840902212046e-05
72,0.294,0.2963,12.06482982635498,1.792894083622247e-05
74,0.302,0.3139,23.80668067932129,1.8043804745052677e-05
76,0.31,0.2926,16.056079864501953,1.8155605248256754e-05
78,0.318,0.4852,26.139524459838867,1.8264501511363518e-05
80,0.327,0.3161,11.575359344482422,1.8370640608693288e-05
82,0.335,0.3595,13.81865119934082,1.8474158717870908e-05
84,0.343,0.3963,19.23018455505371,1.857518217037699e-05
86,0.351,0.4651,26.2501220703125,1.8673828378468474e-05
88,0.359,0.1822,10.726258277893066,1.8770206655526663e-05
90,0.367,0.2715,7.891802787780762,1.886441894420661e-05
92,0.376,0.2455,20.821044921875,1.8956560464549668e-05
94,0.384,0.3411,11.627263069152832,1.904672029238936e-05
96,0.392,0.1885,8.57513427734375,1.9134981876858235e-05
98,0.4,0.1664,13.278974533081055,1.9221423504531517e-05
100,0.408,0.1618,13.488616943359375,1.9306118716677437e-05
102,0.416,0.2434,9.627817153930664,1.9389136685187132e-05
104,0.424,0.2391,9.658489227294922,1.9470542551999284e-05
106,0.433,0.2917,26.98676300048828,1.9550397736192384e-05
108,0.441,0.2902,20.531169891357422,1.962876021237156e-05
110,0.449,0.25,16.424419403076172,1.970568476351081e-05
112,0.457,0.3344,23.676856994628906,1.9781223211012756e-05
114,0.465,0.0874,10.533344268798828,1.9855424624405847e-05
116,0.473,0.1757,17.18624496459961,1.9928335512804035e-05
118,0.482,0.2566,15.327223777770996,2e-05
120,0.49,0.1155,17.7451229095459,1.9992912827781717e-05
122,0.498,0.1571,12.650612831115723,1.9978738483345145e-05
