step,epoch,loss,grad_norm,learning_rate
2,0.005,4.7584,324.27777099609375,2.583489671290015e-06
4,0.009,4.4288,326.8985595703125,5.16697934258003e-06
6,0.014,2.0012,91.61113739013672,6.678223921285115e-06
8,0.018,0.6204,22.19840431213379,7.750469013870044e-06
10,0.023,0.6392,34.608970642089844,8.582166921909619e-06
12,0.027,0.4601,19.649673461914062,9.26171359257513e-06
14,0.032,0.4846,17.03551483154297,9.836262116071019e-06
16,0.036,0.6659,27.7292423248291,1.033395868516006e-05
18,0.041,0.5422,23.929019927978516,1.0772958171280215e-05
20,0.045,0.4181,19.80426025390625,1.1165656593199631e-05
22,0.05,0.6002,22.654787063598633,1.1520895526573573e-05
24,0.054,0.3812,19.573726654052734,1.1845203263865145e-05
26,0.059,0.6185,35.579681396484375,1.2143537462338861e-05
28,0.063,0.1865,16.01181983947754,1.2419751787361035e-05
30,0.068,0.3363,10.748529434204102,1.2676901171904718e-05
32,0.072,0.3516,18.062135696411133,1.2917448356450076e-05
34,0.077,0.1104,7.671224594116211,1.3143407703442005e-05
36,0.081,0.7073,36.34526443481445,1.335644784257023e-05
38,0.086,0.3274,22.720613479614258,1.3557966526660194e-05
40,0.09,0.4217,9.59089183807373,1.3749146264489647e-05
42,0.095,0.221,7.524800777435303,1.393099636606612e-05
44,0.099,0.2759,17.674732208251953,1.4104385197863585e-05
46,0.104,0.1693,10.90563678741455,1.4270065262203765e-05
48,0.108,0.3042,19.146697998046875,1.4428692935155161e-05
50,0.113,0.2961,18.934982299804688,1.458084417252922e-05
52,0.117,0.2276,12.473738670349121,1.4727027133628877e-05
54,0.122,0.2119,17.268611907958984,1.4867692421275316e-05
56,0.126,0.3401,19.61973762512207,1.5003241458651052e-05
58,0.131,0.3803,16.182025909423828,1.5134033395525285e-05
60,0.135,0.2854,12.998570442199707,1.5260390843194732e-05
62,0.14,0.2388,17.83803367614746,1.538260466871761e-05
64,0.144,0.3993,22.2192440032959,1.550093802774009e-05
66,0.149,0.3466,22.787099838256836,1.561562977656867e-05
68,0.153,0.2565,12.377199172973633,1.5726897374732023e-05
70,0.158,0.331,16.975133895874023,1.5834939366690625e-05
72,0.162,0.1818,13.692169189453125,1.5939937513860243e-05
74,0.167,0.1265,12.36020565032959,1.6042058634459413e-05
76,0.171,0.0675,12.977214813232422,1.6141456197950208e-05
78,0.176,0.3421,13.042804718017578,1.623827171233396e-05
80,0.18,0.195,8.233210563659668,1.633263593577966e-05
82,0.185,0.2928,24.499277114868164,1.642466993861995e-05
84,0.189,0.4918,73.24384307861328,1.6514486037356136e-05
86,0.194,0.3894,12.774136543273926,1.660218861874793e-05
88,0.198,0.3223,17.916152954101562,1.66878748691536e-05
90,0.203,0.3005,10.500845909118652,1.6771635421899816e-05
92,0.207,0.2008,21.95590591430664,1.685355493349378e-05
94,0.212,0.1547,11.250664710998535,1.6933712597861854e-05
96,0.216,0.1502,4.539362907409668,1.7012182606445175e-05
98,0.221,0.2984,10.86530590057373,1.7089034560852026e-05
100,0.225,0.22,9.260354042053223,1.7164333843819238e-05
102,0.23,0.1648,13.093392372131348,1.7238141953437103e-05
104,0.234,0.2747,13.995429992675781,1.731051680491889e-05
106,0.239,0.32,16.60175132751465,1.738151300362485e-05
108,0.243,0.3301,8.244378089904785,1.745118209256533e-05
110,0.248,0.1222,10.600770950317383,1.7519572777193174e-05
112,0.252,0.2259,3.1053340435028076,1.7586731129941065e-05
114,0.257,0.3162,11.368481636047363,1.7652700776655295e-05
116,0.261,0.3764,13.984648704528809,1.77175230668153e-05
118,0.266,0.3557,14.918201446533203,1.778123722920233e-05
120,0.27,0.4336,9.382955551147461,1.7843880514484745e-05
122,0.275,0.1628,6.639529705047607,1.7905488326017774e-05
124,0.279,0.1777,15.294779777526855,1.7966094340007625e-05
126,0.284,0.3819,18.553165435791016,1.802573061606122e-05
