step,epoch,loss,grad_norm,learning_rate
166,0.317,0.1823,5.170548915863037,1.8490110669480515e-05
168,0.321,0.0654,0.44475439190864563,1.853342867160035e-05
170,0.324,0.2826,39.95558166503906,1.8576234022603884e-05
172,0.328,0.1184,17.670673370361328,1.8618538714745092e-05
174,0.332,0.238,7.652587890625,1.866035432434279e-05
176,0.336,0.1657,17.824474334716797,1.870169203079583e-05
178,0.34,0.1718,11.531082153320312,1.8742562634523994e-05
180,0.344,0.1382,10.71909236907959,1.878297657390649e-05
182,0.347,0.164,11.133264541625977,1.8822943941284587e-05
184,0.351,0.2758,5.229212760925293,1.886247449808972e-05
186,0.355,0.102,6.39254093170166,1.890157768915381e-05
188,0.359,0.1089,4.099264144897461,1.8940262656254316e-05
190,0.363,0.5869,21.08527374267578,1.8978538250942518e-05
192,0.366,0.1863,23.727487564086914,1.9016413046700167e-05
194,0.37,0.429,23.96770668029785,1.9053895350466215e-05
196,0.374,0.4042,14.602538108825684,1.9090993213572386e-05
198,0.378,0.2146,15.912069320678711,1.9127714442123624e-05
200,0.382,0.3227,12.38846206665039,1.916406660685687e-05
202,0.385,0.1174,11.35860824584961,1.920005705250936e-05
204,0.389,0.2338,4.8882975578308105,1.9235692906725352e-05
206,0.393,0.133,7.144510746002197,1.9270981088528425e-05
208,0.397,0.192,7.177618026733398,1.9305928316384405e-05
210,0.401,0.2657,14.94070816040039,1.934054111587853e-05
212,0.405,0.1377,9.689274787902832,1.9374825827028734e-05
214,0.408,0.3582,12.845620155334473,1.9408788611255577e-05
216,0.412,0.0358,2.735373020172119,1.9442435458027965e-05
218,0.416,0.0721,8.671988487243652,1.9475772191202608e-05
220,0.42,0.0757,3.5222082138061523,1.9508804475074007e-05
222,0.424,0.0449,4.913095474243164,1.9541537820150653e-05
224,0.427,0.0581,3.2669763565063477,1.9573977588672204e-05
226,0.431,0.0586,23.854631423950195,1.9606128999881447e-05
228,0.435,0.5791,23.969219207763672,1.963799713506399e-05
230,0.439,0.1635,14.921823501586914,1.9669586942367895e-05
232,0.443,0.2511,0.9127350449562073,1.970090324141464e-05
234,0.447,0.4294,19.188640594482422,1.97319507277122e-05
236,0.45,0.1851,13.564526557922363,1.9762733976880296e-05
238,0.454,0.3395,10.063055992126465,1.9793257448697392e-05
240,0.458,0.0625,4.246416091918945,1.9823525490978344e-05
242,0.462,0.424,9.187477111816406,1.985354234329114e-05
244,0.466,0.0967,7.684048652648926,1.9883312140520675e-05
246,0.469,0.1173,5.251781940460205,1.9912838916287083e-05
248,0.473,0.3024,20.027376174926758,1.9942126606225666e-05
250,0.477,0.0514,4.354340076446533,1.997117905113505e-05
252,0.481,0.0482,2.19996976852417,1.9999999999999998e-05
254,0.485,0.0435,5.762233257293701,1.9996686547382373e-05
256,0.489,0.2186,1.3119480609893799,1.999005964214712e-05
258,0.492,0.0623,7.955206394195557,1.9983432736911864e-05
260,0.496,0.0695,12.117546081542969,1.9976805831676608e-05
262,0.5,0.3711,17.157793045043945,1.997017892644135e-05
