step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
1,0.001,5.9609,178.66246032714844,0.0,,,,,
2,0.001,4.6875,127.35028839111328,2.031386949406506e-06,,,,,
3,0.002,6.2891,188.3641815185547,3.219672139263657e-06,,,,,
4,0.002,5.9492,172.7180633544922,4.062773898813012e-06,,,,,
5,0.003,5.2109,156.5392608642578,4.716734429414499e-06,,,,,
6,0.003,4.2656,131.37872314453125,5.2510590886701626e-06,,,,,
7,0.004,2.8164,80.3844985961914,5.702824151019936e-06,,,,,
8,0.004,1.2461,28.951311111450195,6.094160848219518e-06,,,,,
9,0.005,1.2051,23.836713790893555,6.439344278527314e-06,,,,,
10,0.005,0.5552,22.629714965820312,6.748121378821006e-06,,,,,
11,0.006,0.6475,19.061500549316406,7.027444242464031e-06,,,,,
12,0.006,0.3457,43.854461669921875,7.2824460380766695e-06,,,,,
13,0.007,0.471,13.464925765991211,7.517024950497304e-06,,,,,
14,0.007,0.3979,12.201956748962402,7.734211100426442e-06,,,,,
15,0.008,0.4839,25.847389221191406,7.936406568678157e-06,,,,,
16,0.008,0.3853,22.771347045898438,8.125547797626024e-06,,,,,
17,0.009,0.3184,10.246492385864258,8.303218671899978e-06,,,,,
18,0.009,0.4863,12.494444847106934,8.47073122793382e-06,,,,,
19,0.01,0.4312,12.793673515319824,8.62918451283413e-06,,,,,
20,0.01,0.3718,15.499350547790527,8.779508328227511e-06,,,,,
21,0.011,0.2627,17.09176254272461,8.922496290283594e-06,,,,,
22,0.011,0.498,9.475708961486816,9.058831191870537e-06,,,,,
23,0.012,0.2676,6.337491989135742,9.189104722365983e-06,,,,,
24,0.013,0.3311,5.042453765869141,9.313832987483176e-06,,,,,
25,0.013,0.3281,13.065034866333008,9.433468858828999e-06,,,,,
26,0.014,0.3755,9.396915435791016,9.54841189990381e-06,,,,,
27,0.014,0.2706,5.902644634246826,9.65901641779097e-06,,,,,
28,0.015,0.2046,4.102456569671631,9.765598049832949e-06,,,,,
29,0.015,0.3809,10.880525588989258,9.868439193966983e-06,,,,,
30,0.016,0.1634,3.698514699935913,9.967793518084664e-06,,,,,
31,0.016,0.3928,8.61263656616211,1.0063889729717761e-05,,,,,
32,0.017,0.3552,6.883246898651123,1.015693474703253e-05,,,,,
33,0.017,0.3511,9.842373847961426,1.0247116381727689e-05,,,,,
34,0.018,0.3027,10.306536674499512,1.0334605621306485e-05,,,,,
35,0.018,0.2993,4.636348724365234,1.0419558580434434e-05,,,,,
36,0.019,0.2175,4.435218811035156,1.0502118177340325e-05,,,,,
37,0.019,0.1396,2.549396514892578,1.0582415580480447e-05,,,,,
38,0.02,0.3029,6.5871734619140625,1.0660571462240636e-05,,,,,
39,0.02,0.3528,8.039358139038086,1.073669708976096e-05,,,,,
40,0.021,0.4131,6.594271659851074,1.0810895277634017e-05,,,,,
41,0.021,0.4429,6.791574954986572,1.0883261222947842e-05,,,,,
42,0.022,0.311,3.5118257999420166,1.0953883239690099e-05,,,,,
43,0.022,0.3105,5.039860248565674,1.1022843406726337e-05,,,,,
44,0.023,0.3555,10.944928169250488,1.1090218141277042e-05,,,,,
45,0.023,0.4326,10.5206298828125,1.1156078707941814e-05,,,,,
46,0.024,0.3135,4.74301290512085,1.1220491671772488e-05,,,,,
47,0.025,0.3052,4.744574546813965,1.1283519302616823e-05,,,,,
48,0.025,0.3015,5.396639347076416,1.1345219936889682e-05,,,,,
