step,epoch,loss,grad_norm,learning_rate,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
49,0.026,0.3274,5.473598957061768,1.1405648302039871e-05,,,,,
50,0.026,0.3892,7.355251789093018,1.1464855808235504e-05,,,,,
51,0.027,0.3845,7.084339618682861,1.1522890811163633e-05,,,,,
52,0.027,0.5312,9.275160789489746,1.1579798849310317e-05,,,,,
53,0.028,0.3179,11.178855895996094,1.1635622858638265e-05,,,,,
54,0.028,0.2974,7.707353591918945,1.1690403367197476e-05,,,,,
55,0.029,0.3584,4.328989505767822,1.1744178671878533e-05,,,,,
56,0.029,0.3933,8.322015762329102,1.1796984999239456e-05,,,,,
57,0.03,0.4048,5.96700382232666,1.1848856652097787e-05,,,,,
58,0.03,0.2566,3.9736838340759277,1.1899826143373488e-05,,,,,
59,0.031,0.3833,5.53485107421875,1.1949924318490537e-05,,,,,
60,0.031,0.3152,3.7729504108428955,1.1999180467491167e-05,,,,,
61,0.032,0.2698,10.109620094299316,1.2047622427883137e-05,,,,,
62,0.032,0.3254,4.597603797912598,1.2095276679124268e-05,,,,,
63,0.033,0.2052,4.205626964569092,1.214216842954725e-05,,,,,
64,0.033,0.3174,6.610893249511719,1.2188321696439036e-05,,,,,
65,0.034,0.3413,5.416554927825928,1.2233759379911803e-05,,,,,
66,0.034,0.2595,3.8703391551971436,1.2278503331134193e-05,,,,,
67,0.035,0.27,10.687217712402344,1.2322574415431797e-05,,,,,
68,0.036,0.2754,4.232540130615234,1.236599257071299e-05,,,,,
69,0.036,0.2446,2.7919087409973145,1.240877686162964e-05,,,,,
70,0.037,0.2075,4.470126628875732,1.2450945529840943e-05,,,,,
71,0.037,0.376,6.848596572875977,1.2492516040712064e-05,,,,,
72,0.038,0.2629,5.084775447845459,1.2533505126746832e-05,,,,,
73,0.038,0.2478,12.189720153808594,1.257392882802475e-05,,,,,
74,0.039,0.4263,7.982026100158691,1.2613802529886956e-05,,,,,
75,0.039,0.2351,3.907097578048706,1.2653140998092654e-05,,,,,
76,0.04,0.2855,3.3685824871063232,1.2691958411647143e-05,,,,,
77,0.04,0.191,4.254433631896973,1.2730268393483968e-05,,,,,
78,0.041,0.2273,3.008387804031372,1.2768084039167468e-05,,,,,
79,0.041,0.2942,3.918832778930664,1.2805417943766948e-05,,,,,
80,0.042,0.2634,5.38471794128418,1.2842282227040524e-05,,,,,
81,0.042,0.2759,15.1102933883667,1.2878688557054628e-05,,,,,
82,0.043,0.2386,5.228769302368164,1.2914648172354347e-05,,,,,
83,0.043,0.1646,1.6119543313980103,1.2950171902790018e-05,,,,,
84,0.044,0.3035,3.3245749473571777,1.2985270189096604e-05,,,,,
85,0.044,0.3599,5.410439968109131,1.3019953101314477e-05,,,,,
86,0.045,0.2765,5.373655796051025,1.3054230356132844e-05,,,,,
87,0.045,0.283,4.306458473205566,1.3088111333230638e-05,,,,,
88,0.046,0.2269,2.654648780822754,1.312160509068355e-05,,,,,
89,0.046,0.2756,3.659205436706543,1.3154720379500558e-05,,,,,
90,0.047,0.3828,4.80841064453125,1.318746565734832e-05,,,,,
91,0.048,0.2971,3.617154836654663,1.321984910151724e-05,,,,,
92,0.048,0.2314,2.478276014328003,1.3251878621178995e-05,,,,,
93,0.049,0.2036,5.1825480461120605,1.328356186898142e-05,,,,,
94,0.049,0.3696,5.683465957641602,1.331490625202333e-05,,,,,
95,0.05,0.3152,5.381113052368164,1.334591894224863e-05,,,,,
96,0.05,0.259,2.952545166015625,1.3376606886296187e-05,,,,,
97,0.051,0.2253,2.9008429050445557,1.3406976814839332e-05,,,,,
98,0.051,0.2234,8.39544677734375,1.343703525144638e-05,,,,,
99,0.052,0.2578,3.464676856994629,1.3466788520991345e-05,,,,,
100,0.052,0.2539,3.8348541259765625,1.3496242757642012e-05,,,,,
101,0.053,0.2957,4.922804832458496,1.352540391245054e-05,,,,,
102,0.053,0.2556,3.91768741607666,1.3554277760570138e-05,,,,,
103,0.054,0.3789,5.548620700836182,1.3582869908119713e-05,,,,,
104,0.054,0.2926,6.440028190612793,1.3611185798716821e-05,,,,,
105,0.055,0.2931,4.744796276092529,1.3639230719698091e-05,,,,,
106,0.055,0.1899,2.8834948539733887,1.366700980804477e-05,,,,,
107,0.056,0.3271,5.691953659057617,1.3694528056030097e-05,,,,,
108,0.056,0.1997,2.9488210678100586,1.3721790316603982e-05,,,,,
109,0.057,0.2603,5.797268390655518,1.3748801308529534e-05,,,,,
110,0.057,0.2737,5.724408149719238,1.3775565621285038e-05,,,,,
111,0.058,0.2087,2.1737775802612305,1.3802087719744104e-05,,,,,
112,0.058,0.1934,2.1865580081939697,1.382837194864596e-05,,,,,
113,0.059,0.2327,2.477386713027954,1.3854422536867018e-05,,,,,
114,0.06,0.2953,6.858519077301025,1.3880243601504294e-05,,,,,
115,0.06,0.2002,2.7982420921325684,1.3905839151780483e-05,,,,,
116,0.061,0.2654,10.17892074584961,1.3931213092779993e-05,,,,,
117,0.061,0.2795,6.459272384643555,1.3956369229024618e-05,,,,,
118,0.062,0.2866,5.944751739501953,1.3981311267897044e-05,,,,,
119,0.062,0.1738,10.619227409362793,1.4006042822919914e-05,,,,,
120,0.063,0.3188,6.1364970207214355,1.4030567416897674e-05,,,,,
121,0.063,0.1938,5.477574825286865,1.4054888484928062e-05,,,,,
122,0.064,0.229,3.567548990249634,1.4079009377289644e-05,,,,,
123,0.064,0.22,5.019752502441406,1.4102933362211497e-05,,,,,
124,0.065,0.2966,4.3233208656311035,1.4126663628530777e-05,,,,,
125,0.065,0.3096,19.989320755004883,1.41502032882435e-05,,,,,
126,0.066,0.2397,3.0648958683013916,1.4173555378953756e-05,,,,,
127,0.066,0.2227,3.91688871383667,1.4196722866226074e-05,,,,,
128,0.067,0.2583,2.784642457962036,1.4219708645845542e-05,,,,,
129,0.067,0.1976,3.0291073322296143,1.4242515545989995e-05,,,,,
130,0.068,0.2825,4.364854335784912,1.426514632931831e-05,,,,,
131,0.068,0.2168,2.8123326301574707,1.428760369497871e-05,,,,,
132,0.069,0.2859,3.572843551635742,1.43098902805407e-05,,,,,
133,0.069,0.1995,2.1680307388305664,1.4332008663854067e-05,,,,,
134,0.07,0.2715,3.5230648517608643,1.4353961364838302e-05,,,,,
135,0.07,0.2009,2.471935510635376,1.437575084720547e-05,,,,,
136,0.071,0.3132,7.711816310882568,1.4397379520119497e-05,,,,,
137,0.072,0.2759,5.07478141784668,1.4418849739794694e-05,,,,,
138,0.072,0.2756,3.360058546066284,1.4440163811036148e-05,,,,,
139,0.073,0.3148,4.986016750335693,1.4461323988724484e-05,,,,,
140,0.073,0.2847,4.847030162811279,1.4482332479247448e-05,,,,,
141,0.074,0.2191,5.4679036140441895,1.4503191441880482e-05,,,,,
142,0.074,0.1781,2.177894353866577,1.452390299011857e-05,,,,,
143,0.075,0.179,2.14811635017395,1.4544469192961335e-05,,,,,
144,0.075,0.1602,1.6153292655944824,1.4564892076153339e-05,,,,,
145,0.076,0.2324,3.4243929386138916,1.4585173623381482e-05,,,,,
146,0.076,0.1685,2.877065420150757,1.4605315777431257e-05,,,,,
147,0.077,0.2106,3.6201515197753906,1.4625320441303527e-05,,,,,
148,0.077,0.2292,2.546518087387085,1.4645189479293461e-05,,,,,
149,0.078,0.288,4.889976501464844,1.466492471803311e-05,,,,,
150,0.078,0.2793,3.6705355644226074,1.4684527947499161e-05,,,,,
151,0.079,0.2705,5.600981712341309,1.4704000921987169e-05,,,,,
152,0.079,0.1941,5.155590057373047,1.472334536105365e-05,,,,,
153,0.08,0.2134,2.761817693710327,1.474256295042729e-05,,,,,
154,0.08,0.1295,4.332878589630127,1.4761655342890475e-05,,,,,
155,0.081,0.2576,3.7049429416656494,1.4780624159132262e-05,,,,,
156,0.081,0.2235,3.354733943939209,1.4799470988573975e-05,,,,,
157,0.082,0.375,5.276305198669434,1.4818197390168365e-05,,,,,
158,0.083,0.26,2.969224214553833,1.4836804893173455e-05,,,,,
159,0.083,0.1792,1.494889259338379,1.4855294997901921e-05,,,,,
160,0.084,0.2566,3.9267024993896484,1.487366917644703e-05,,,,,
161,0.084,0.23,6.934767246246338,1.489192887338592e-05,,,,,
162,0.085,0.2117,4.639880657196045,1.4910075506461133e-05,,,,,
163,0.085,0.2168,2.4669413566589355,1.4928110467241173e-05,,,,,
164,0.086,0.2084,3.775036096572876,1.4946035121760854e-05,,,,,
165,0.086,0.3354,4.067902565002441,1.4963850811142187e-05,,,,,
166,0.087,0.2791,4.605514049530029,1.4981558852196525e-05,,,,,
167,0.087,0.14,2.705852508544922,1.499916053800859e-05,,,,,
168,0.088,0.1914,2.433631658554077,1.501665713850311e-05,,,,,
169,0.088,0.3843,6.8818206787109375,1.5034049900994609e-05,,,,,
170,0.089,0.1694,2.6769802570343018,1.5051340050720984e-05,,,,,
171,0.089,0.1761,4.589531421661377,1.5068528791361446e-05,,,,,
172,0.09,0.3596,5.567598342895508,1.5085617305539351e-05,,,,,
173,0.09,0.2753,4.698279857635498,1.5102606755310466e-05,,,,,
174,0.091,0.181,2.4825925827026367,1.5119498282637143e-05,,,,,
175,0.091,0.14,4.018559455871582,1.5136293009848937e-05,,,,,
176,0.092,0.2148,4.189489841461182,1.5152992040090056e-05,,,,,
177,0.092,0.2032,2.609544277191162,1.5169596457754194e-05,,,,,
178,0.093,0.2378,5.331201553344727,1.5186107328907065e-05,,,,,
179,0.093,0.2017,2.516828775405884,1.5202525701697119e-05,,,,,
180,0.094,0.2546,4.218294143676758,1.5218852606754826e-05,,,,,
181,0.095,0.2585,3.009136915206909,1.5235089057580886e-05,,,,,
182,0.095,0.1936,3.86171817779541,1.5251236050923745e-05,,,,,
183,0.096,0.3484,4.483742713928223,1.5267294567146792e-05,,,,,
184,0.096,0.2271,2.8063032627105713,1.52832655705855e-05,,,,,
185,0.097,0.2188,2.632655382156372,1.5299150009894948e-05,,,,,
186,0.097,0.3252,3.5346291065216064,1.5314948818387925e-05,,,,,
187,0.098,0.1311,2.983463764190674,1.533066291436401e-05,,,,,
188,0.098,0.2153,3.777036666870117,1.5346293201429835e-05,,,,,
189,0.099,0.1946,2.8537380695343018,1.5361840568810907e-05,,,,,
190,0.099,0.2513,2.920990228652954,1.5377305891655137e-05,,,,,
191,0.1,0.1577,2.941399335861206,1.5392690031328457e-05,,,,,
192,0.1,0.3049,3.2891314029693604,1.5407993835702692e-05,,,,,
193,0.101,0.2625,9.235068321228027,1.5423218139435966e-05,,,,,
194,0.101,0.3064,4.219514846801758,1.5438363764245837e-05,,,,,
195,0.102,0.1995,3.6328623294830322,1.545343151917546e-05,,,,,
196,0.102,0.1595,2.9731762409210205,1.5468422200852883e-05,,,,,
197,0.103,0.1826,3.568948984146118,1.5483336593743797e-05,,,,,
198,0.103,0.2629,6.085885047912598,1.549817547039785e-05,,,,,
199,0.104,0.2123,3.059194803237915,1.551293959168878e-05,,,,,
200,0.104,0.3608,4.383538246154785,1.5527629707048518e-05,,,,,
201,0.105,0.3872,4.073333263397217,1.5542246554695454e-05,,,,,
202,0.105,0.2115,2.8167855739593506,1.5556790861857046e-05,,,,,
203,0.106,0.2686,6.7806715965271,1.5571263344986917e-05,,,,,
204,0.107,0.1895,3.6589624881744385,1.5585664709976644e-05,,,,,
205,0.107,0.2327,3.488823175430298,1.559999565236234e-05,,,,,
206,0.108,0.1185,2.918987989425659,1.561425685752622e-05,,,,,
207,0.108,0.1823,2.851818561553955,1.5628449000893296e-05,,,,,
208,0.109,0.1426,2.320087194442749,1.564257274812333e-05,,,,,
209,0.109,0.1531,2.4186854362487793,1.5656628755298163e-05,,,,,
210,0.11,0.068,1.057625412940979,1.56706176691046e-05,,,,,
211,0.11,0.3159,3.499049425125122,1.568454012701294e-05,,,,,
212,0.111,0.1677,3.446815252304077,1.5698396757451276e-05,,,,,
213,0.111,0.2142,2.7188632488250732,1.5712188179975723e-05,,,,,
214,0.112,0.239,5.037460803985596,1.5725915005436602e-05,,,,,
215,0.112,0.1419,2.8928141593933105,1.5739577836140837e-05,,,,,
216,0.113,0.2606,3.397007942199707,1.5753177266010488e-05,,,,,
217,0.113,0.1915,4.313904285430908,1.5766713880737698e-05,,,,,
218,0.114,0.2705,3.7692952156066895,1.578018825793604e-05,,,,,
219,0.114,0.2324,5.499926567077637,1.5793600967288408e-05,,,,,
220,0.115,0.1119,2.1845743656158447,1.5806952570691547e-05,,,,,
221,0.115,0.1394,2.9996302127838135,1.582024362239728e-05,,,,,
222,0.116,0.2386,3.501225471496582,1.583347466915061e-05,,,,,
223,0.116,0.2825,2.963954448699951,1.5846646250324627e-05,,,,,
224,0.117,0.1864,4.198153018951416,1.5859758898052468e-05,,,,,
225,0.117,0.2092,2.910609245300293,1.5872813137356313e-05,,,,,
226,0.118,0.2554,3.012633800506592,1.588580948627353e-05,,,,,
227,0.119,0.2362,3.0855472087860107,1.5898748455979996e-05,,,,,
228,0.119,0.1694,1.854322910308838,1.59116305509108e-05,,,,,
229,0.12,0.2551,5.019055366516113,1.5924456268878177e-05,,,,,
230,0.12,0.259,6.027835845947266,1.5937226101186988e-05,,,,,
231,0.121,0.2134,6.187994480133057,1.5949940532747624e-05,,,,,
232,0.121,0.1805,3.8785934448242188,1.59626000421865e-05,,,,,
233,0.122,0.1449,1.9376665353775024,1.597520510195417e-05,,,,,
234,0.122,0.1069,2.7044546604156494,1.5987756178431125e-05,,,,,
235,0.123,0.1453,2.258171558380127,1.6000253732031323e-05,,,,,
236,0.123,0.3665,4.054504871368408,1.601269821730355e-05,,,,,
237,0.124,0.1308,2.3594274520874023,1.6025090083030604e-05,,,,,
238,0.124,0.0923,2.8002097606658936,1.603742977232642e-05,,,,,
239,0.125,0.2049,2.658604383468628,1.6049717722731133e-05,,,,,
240,0.125,0.1389,2.366018772125244,1.606195436630418e-05,,,,,
241,0.126,0.1183,2.7818033695220947,1.6074140129715454e-05,,,,,
242,0.126,0.1468,2.563462257385254,1.608627543433457e-05,,,,,
243,0.127,0.1427,4.3239030838012695,1.6098360696318283e-05,,,,,
244,0.127,0.2397,3.922316312789917,1.611039632669615e-05,,,,,
245,0.128,0.2075,3.4289252758026123,1.6122382731454374e-05,,,,,
246,0.128,0.3547,5.907925605773926,1.6134320311618004e-05,,,,,
247,0.129,0.3042,5.81721830368042,1.6146209463331436e-05,,,,,
248,0.13,0.2417,3.6010243892669678,1.6158050577937282e-05,,,,,
249,0.13,0.2368,10.96073055267334,1.6169844042053674e-05,,,,,
250,0.131,0.0682,1.5020735263824463,1.6181590237650005e-05,,,,,
251,0.131,0.1458,3.196068048477173,1.6193289542121157e-05,,,,,
252,0.132,0.3054,4.182535171508789,1.6204942328360263e-05,,,,,
253,0.132,0.1584,2.8405466079711914,1.6216548964830013e-05,,,,,
254,0.133,0.1949,3.942707061767578,1.622810981563258e-05,,,,,
255,0.133,0.2473,3.0895590782165527,1.623962524057813e-05,,,,,
256,0.134,0.3062,4.628326892852783,1.625109559525205e-05,,,,,
257,0.134,0.2042,5.895874500274658,1.626252123108079e-05,,,,,
258,0.135,0.1653,2.932882070541382,1.62739024953965e-05,,,,,
259,0.135,0.1998,2.219215154647827,1.6285239731500385e-05,,,,,
260,0.136,0.1327,2.666403293609619,1.6296533278724817e-05,,,,,
261,0.136,0.1816,2.7816176414489746,1.6307783472494297e-05,,,,,
262,0.137,0.2496,2.2231056690216064,1.6318990644385217e-05,,,,,
263,0.137,0.1255,3.0895962715148926,1.6330155122184525e-05,,,,,
264,0.138,0.2334,2.7984578609466553,1.6341277229947205e-05,,,,,
265,0.138,0.1328,2.9143269062042236,1.6352357288052766e-05,,,,,
266,0.139,0.23,3.8472063541412354,1.6363395613260574e-05,,,,,
267,0.139,0.1476,1.42343008518219,1.6374392518764216e-05,,,,,
268,0.14,0.2468,2.887453317642212,1.638534831424481e-05,,,,,
269,0.14,0.1693,1.6316297054290771,1.6396263305923333e-05,,,,,
270,0.141,0.2905,4.034369468688965,1.6407137796611975e-05,,,,,
271,0.142,0.1537,2.2691335678100586,1.641797208576456e-05,,,,,
272,0.142,0.2122,2.6484780311584473,1.6428766469526004e-05,,,,,
273,0.143,0.093,2.5519745349884033,1.6439521240780897e-05,,,,,
274,0.143,0.1302,2.296395778656006,1.64502366892012e-05,,,,,
275,0.144,0.1194,2.0704805850982666,1.6460913101293034e-05,,,,,
276,0.144,0.1853,2.3376736640930176,1.6471550760442653e-05,,,,,
277,0.145,0.1826,2.3985307216644287,1.6482149946961598e-05,,,,,
278,0.145,0.3217,4.493256092071533,1.649271093813099e-05,,,,,
279,0.146,0.2787,4.030941486358643,1.6503234008245074e-05,,,,,
280,0.146,0.179,2.7947916984558105,1.6513719428653955e-05,,,,,
281,0.147,0.1558,2.32155179977417,1.6524167467805577e-05,,,,,
282,0.147,0.1375,2.9994137287139893,1.6534578391286988e-05,,,,,
283,0.148,0.2087,2.5839641094207764,1.6544952461864813e-05,,,,,
284,0.148,0.3247,3.8882319927215576,1.6555289939525076e-05,,,,,
285,0.149,0.1938,4.286876201629639,1.6565591081512286e-05,,,,,
286,0.149,0.2019,4.52009916305542,1.6575856142367842e-05,,,,,
287,0.15,0.1685,2.4410204887390137,1.6586085373967776e-05,,,,,
288,0.15,0.1368,1.619450569152832,1.6596279025559844e-05,,,,,
289,0.151,0.1769,3.1850945949554443,1.6606437343799955e-05,,,,,
290,0.151,0.292,3.7358808517456055,1.661656057278799e-05,,,,,
291,0.152,0.1907,2.174379587173462,1.662664895410299e-05,,,,,
292,0.152,0.1886,2.3880560398101807,1.6636702726837764e-05,,,,,
293,0.153,0.2153,2.2993717193603516,1.6646722127632867e-05,,,,,
294,0.154,0.1167,1.3439366817474365,1.6656707390710036e-05,,,,,
295,0.154,0.1848,3.366036891937256,1.6666658747905036e-05,,,,,
296,0.155,0.2161,2.602701187133789,1.6676576428699966e-05,,,,,
297,0.155,0.1914,2.7336652278900146,1.6686460660255e-05,,,,,
298,0.156,0.1887,2.204394578933716,1.669631166743962e-05,,,,,
299,0.156,0.1975,2.763498067855835,1.670612967286329e-05,,,,,
300,0.157,0.197,2.5785329341888428,1.6715914896905666e-05,,,,,
301,0.157,0.0919,2.2223448753356934,1.6725667557746274e-05,,,,,
302,0.158,0.1557,1.710101842880249,1.6735387871393676e-05,,,,,
303,0.158,0.2512,2.3399550914764404,1.6745076051714195e-05,,,,,
304,0.159,0.1473,2.1158158779144287,1.6754732310460155e-05,,,,,
305,0.159,0.2208,3.3046648502349854,1.6764356857297636e-05,,,,,
306,0.16,0.1293,3.40226411819458,1.6773949899833796e-05,,,,,
307,0.16,0.1747,3.645632743835449,1.6783511643643745e-05,,,,,
308,0.161,0.1655,2.3751087188720703,1.679304229229698e-05,,,,,
309,0.161,0.3279,3.832926034927368,1.680254204738337e-05,,,,,
310,0.162,0.1342,2.5656843185424805,1.681201110853877e-05,,,,,
311,0.162,0.1307,3.94659161567688,1.682144967347017e-05,,,,,
312,0.163,0.1445,2.5028693675994873,1.683085793798048e-05,,,,,
313,0.163,0.1116,1.5752582550048828,1.6840236095992892e-05,,,,,
314,0.164,0.1614,2.8271307945251465,1.684958433957487e-05,,,,,
315,0.164,0.1299,1.8799759149551392,1.685890285896175e-05,,,,,
316,0.165,0.2291,2.961562395095825,1.686819184257996e-05,,,,,
317,0.166,0.1505,2.9556984901428223,1.68774514770699e-05,,,,,
318,0.166,0.0508,2.5987462997436523,1.6886681947308428e-05,,,,,
319,0.167,0.214,3.6025617122650146,1.6895883436431014e-05,,,,,
320,0.167,0.2424,3.004478931427002,1.6905056125853536e-05,,,,,
321,0.168,0.2244,4.0482940673828125,1.6914200195293754e-05,,,,,
322,0.168,0.1674,2.424306631088257,1.6923315822792425e-05,,,,,
323,0.169,0.3826,5.453230857849121,1.6932403184734107e-05,,,,,
324,0.169,0.1527,2.5081076622009277,1.694146245586764e-05,,,,,
325,0.17,0.1555,2.8538103103637695,1.6950493809326304e-05,,,,,
326,0.17,0.2051,6.1952104568481445,1.6959497416647678e-05,,,,,
327,0.171,0.1746,2.9177215099334717,1.696847344779319e-05,,,,,
328,0.171,0.2314,4.010101318359375,1.697742207116736e-05,,,,,
329,0.172,0.1022,2.73223614692688,1.698634345363676e-05,,,,,
330,0.172,0.2352,2.6906826496124268,1.6995237760548692e-05,,,,,
331,0.173,0.2384,2.674339771270752,1.700410515574957e-05,,,,,
332,0.173,0.2551,2.5701792240142822,1.701294580160303e-05,,,,,
333,0.174,0.1453,2.5151541233062744,1.7021759859007762e-05,,,,,
334,0.174,0.3508,4.250339508056641,1.7030547487415095e-05,,,,,
335,0.175,0.1356,2.2067651748657227,1.7039308844846298e-05,,,,,
336,0.175,0.1451,2.339165449142456,1.7048044087909616e-05,,,,,
337,0.176,0.2471,3.2792766094207764,1.70567533718171e-05,,,,,
338,0.177,0.1823,2.6111533641815186,1.7065436850401116e-05,,,,,
339,0.177,0.2889,3.4738898277282715,1.7074094676130674e-05,,,,,
340,0.178,0.1029,1.804952621459961,1.708272700012749e-05,,,,,
341,0.178,0.1714,2.4708304405212402,1.7091333972181795e-05,,,,,
342,0.179,0.1031,1.659445881843567,1.709991574076795e-05,,,,,
343,0.179,0.2719,4.10353422164917,1.7108472453059808e-05,,,,,
344,0.18,0.2034,2.756077289581299,1.7117004254945858e-05,,,,,
345,0.18,0.158,4.334823131561279,1.712551129104414e-05,,,,,
346,0.181,0.1795,3.6250524520874023,1.7133993704716975e-05,,,,,
347,0.181,0.2114,3.123847484588623,1.7142451638085433e-05,,,,,
348,0.182,0.181,3.2198760509490967,1.715088523204365e-05,,,,,
349,0.182,0.1599,3.4694855213165283,1.7159294626272892e-05,,,,,
350,0.183,0.1316,4.078277111053467,1.7167679959255442e-05,,,,,
351,0.183,0.1051,2.355160713195801,1.7176041368288274e-05,,,,,
352,0.184,0.094,1.2251484394073486,1.718437898949656e-05,,,,,
353,0.184,0.2091,3.909229040145874,1.7192692957846955e-05,,,,,
354,0.185,0.1314,2.8428761959075928,1.72009834071607e-05,,,,,
355,0.185,0.2014,2.5272481441497803,1.7209250470126563e-05,,,,,
356,0.186,0.0971,2.3853743076324463,1.7217494278313572e-05,,,,,
357,0.186,0.1493,3.215080976486206,1.7225714962183568e-05,,,,,
358,0.187,0.282,3.7362091541290283,1.7233912651103626e-05,,,,,
359,0.187,0.1899,4.29182243347168,1.7242087473358223e-05,,,,,
360,0.188,0.0912,2.521062135696411,1.725023955616133e-05,,,,,
361,0.189,0.3353,3.6452982425689697,1.725836902566826e-05,,,,,
362,0.189,0.1315,2.1064159870147705,1.726647600698739e-05,,,,,
363,0.19,0.2815,3.1543362140655518,1.7274560624191717e-05,,,,,
364,0.19,0.1395,1.8998087644577026,1.728262300033025e-05,,,,,
365,0.191,0.1765,2.784507989883423,1.729066325743925e-05,,,,,
366,0.191,0.2271,3.9398183822631836,1.7298681516553298e-05,,,,,
367,0.192,0.17,4.241557598114014,1.7306677897716253e-05,,,,,
368,0.192,0.1484,2.0227367877960205,1.731465251999201e-05,,,,,
369,0.193,0.1626,1.907425045967102,1.7322605501475153e-05,,,,,
370,0.193,0.082,1.7160520553588867,1.7330536959301453e-05,,,,,
371,0.194,0.2327,3.253781318664551,1.73384470096582e-05,,,,,
372,0.194,0.2416,5.238917827606201,1.734633576779443e-05,,,,,
373,0.195,0.2267,2.829678535461426,1.7354203348031e-05,,,,,
374,0.195,0.1448,2.1007633209228516,1.7362049863770516e-05,,,,,
375,0.196,0.3191,3.0459351539611816,1.7369875427507154e-05,,,,,
376,0.196,0.1716,3.0516610145568848,1.7377680150836344e-05,,,,,
377,0.197,0.1803,2.5842862129211426,1.7385464144464284e-05,,,,,
378,0.197,0.131,2.8534128665924072,1.7393227518217412e-05,,,,,
379,0.198,0.1193,2.1990652084350586,1.7400970381051655e-05,,,,,
380,0.198,0.1893,2.1963133811950684,1.7408692841061642e-05,,,,,
381,0.199,0.1575,2.5776546001434326,1.7416395005489733e-05,,,,,
382,0.199,0.1451,3.4342455863952637,1.7424076980734963e-05,,,,,
383,0.2,0.1108,1.9144608974456787,1.7431738872361874e-05,,,,,
384,0.201,0.0408,1.333005666732788,1.7439380785109197e-05,,,,,
385,0.201,0.2566,2.7082607746124268,1.7447002822898468e-05,,,,,
386,0.202,0.1331,2.3085455894470215,1.7454605088842475e-05,,,,,
