step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
1,0.0,5.832,171.74603271484375,0.0,,,,,
2,0.001,5.2344,147.45962524414062,1.8550535861363603e-06,,,,,
3,0.001,7.1328,226.20858764648438,2.940190370854435e-06,,,,,
4,0.001,7.25,229.7679901123047,3.7101071722727205e-06,,,,,
5,0.001,3.875,106.09549713134766,4.3073010391715685e-06,,,,,
6,0.002,3.6875,95.7691421508789,4.795243956990795e-06,,,,,
7,0.002,2.832,78.11190795898438,5.207793815720521e-06,,,,,
8,0.002,1.2617,31.5028076171875,5.56516075840908e-06,,,,,
9,0.002,1.0166,30.26317024230957,5.88038074170887e-06,,,,,
10,0.003,0.6245,18.725133895874023,6.16235462530793e-06,,,,,
11,0.003,0.4575,15.539754867553711,6.417431030146632e-06,,,,,
12,0.003,0.4805,16.13374900817871,6.6502975431271555e-06,,,,,
13,0.004,0.7471,70.26043701171875,6.864513969419055e-06,,,,,
14,0.004,0.4634,76.70244598388672,7.06284740185688e-06,,,,,
15,0.004,0.3521,9.598785400390625,7.247491410026003e-06,,,,,
16,0.004,0.5483,15.223352432250977,7.420214344545441e-06,,,,,
17,0.005,0.3424,9.311590194702148,7.582462601860559e-06,,,,,
18,0.005,0.3816,7.597081661224365,7.735434327845229e-06,,,,,
19,0.005,0.3433,8.27004337310791,7.880133167460836e-06,,,,,
20,0.005,0.2827,22.813276290893555,8.01740821144429e-06,,,,,
21,0.006,0.3748,9.067614555358887,8.147984186574955e-06,,,,,
22,0.006,0.4395,10.654799461364746,8.272484616282994e-06,,,,,
23,0.006,0.3994,7.6519012451171875,8.39144982869357e-06,,,,,
24,0.007,0.4849,43.97418975830078,8.505351129263515e-06,,,,,
25,0.007,0.375,6.264973163604736,8.614602078343137e-06,,,,,
26,0.007,0.2096,2.982785224914551,8.719567555555415e-06,,,,,
27,0.007,0.3612,7.213119983673096,8.820571112563303e-06,,,,,
