step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
265,1.879,0.0219,0.2742777168750763,1.435960591133005e-05,,,,,,,,,,,,,,,,,
270,1.915,0.0204,0.1926543265581131,1.4236453201970444e-05,,,,,,,,,,,,,,,,,
275,1.95,0.0212,0.158525288105011,1.411330049261084e-05,,,,,,,,,,,,,,,,,
280,1.986,0.0237,0.14062298834323883,1.3990147783251233e-05,,,,,,,,,,,,,,,,,
282,2.0,,,,0.389857369207384,0.5791411042446165,0.612244897909406,0.7127024722432107,0.6449275361821064,0.8444444443940303,0.799031476947192,0.6546213287325636,44.7254,15.651,0.134,,,,,,
285,2.021,0.0188,0.1680186539888382,1.3866995073891626e-05,,,,,,,,,,,,,,,,,
290,2.057,0.0184,0.11328819394111633,1.374384236453202e-05,,,,,,,,,,,,,,,,,
295,2.092,0.0185,0.29217126965522766,1.3620689655172414e-05,,,,,,,,,,,,,,,,,
300,2.128,0.0184,0.1443445384502411,1.3497536945812807e-05,,,,,,,,,,,,,,,,,
305,2.163,0.0214,0.18146562576293945,1.3374384236453204e-05,,,,,,,,,,,,,,,,,
310,2.199,0.0187,0.16431088745594025,1.3251231527093598e-05,,,,,,,,,,,,,,,,,
315,2.234,0.0198,0.2288428395986557,1.3128078817733992e-05,,,,,,,,,,,,,,,,,
320,2.27,0.0187,0.15379174053668976,1.3004926108374385e-05,,,,,,,,,,,,,,,,,
325,2.305,0.0199,0.14756418764591217,1.2881773399014779e-05,,,,,,,,,,,,,,,,,
329,2.333,,,,0.5335157318241271,0.6110458283870325,0.6444121915319753,0.7499999999498765,0.6794582392275116,0.9068627450475947,0.7710843372990263,0.6994827247524491,45.8506,15.267,0.131,,,,,,
330,2.34,0.017,0.1159561276435852,1.2758620689655174e-05,,,,,,,,,,,,,,,,,
335,2.376,0.0176,0.10929809510707855,1.2635467980295568e-05,,,,,,,,,,,,,,,,,
340,2.411,0.0186,0.27055448293685913,1.2512315270935961e-05,,,,,,,,,,,,,,,,,
345,2.447,0.0173,0.1511431634426117,1.2389162561576355e-05,,,,,,,,,,,,,,,,,
350,2.482,0.018,0.20606522262096405,1.2266009852216749e-05,,,,,,,,,,,,,,,,,
355,2.518,0.0181,0.15843984484672546,1.2142857142857142e-05,,,,,,,,,,,,,,,,,
360,2.553,0.0184,0.16958603262901306,1.201970443349754e-05,,,,,,,,,,,,,,,,,
365,2.589,0.0204,0.15925146639347076,1.1896551724137933e-05,,,,,,,,,,,,,,,,,
370,2.624,0.0167,0.1475236713886261,1.1773399014778327e-05,,,,,,,,,,,,,,,,,
375,2.66,0.0204,0.226884663105011,1.165024630541872e-05,,,,,,,,,,,,,,,,,
376,2.667,,,,0.5309734512773416,0.5724059292543165,0.6568213782902741,0.6852459015892325,0.6520307354054076,0.8992628992124577,0.7895981086966943,0.6837626291036748,44.917,15.584,0.134,,,,,,
380,2.695,0.0159,0.17974263429641724,1.1527093596059114e-05,,,,,,,,,,,,,,,,,
385,2.73,0.019,0.15240478515625,1.1403940886699509e-05,,,,,,,,,,,,,,,,,
390,2.766,0.0216,0.19257795810699463,1.1280788177339903e-05,,,,,,,,,,,,,,,,,
395,2.801,0.0209,0.19671398401260376,1.1157635467980296e-05,,,,,,,,,,,,,,,,,
400,2.837,0.0201,0.2693634033203125,1.103448275862069e-05,,,,,,,,,,,,,,,,,
405,2.872,0.02,0.2568981349468231,1.0911330049261084e-05,,,,,,,,,,,,,,,,,
410,2.908,0.0242,0.21962304413318634,1.0788177339901477e-05,,,,,,,,,,,,,,,,,
415,2.943,0.0205,0.2263837456703186,1.0665024630541874e-05,,,,,,,,,,,,,,,,,
420,2.979,0.017,0.13668116927146912,1.0541871921182268e-05,,,,,,,,,,,,,,,,,
423,3.0,,,,0.6149732619819569,0.615735461751456,0.6835626357211392,0.6896551723637029,0.6985210465937831,0.9073170731202904,0.7895981086966943,0.7141946800327175,43.8059,15.98,0.137,,,,,,
425,3.014,0.0184,0.18045368790626526,1.0418719211822661e-05,,,,,,,,,,,,,,,,,
430,3.05,0.0125,0.1773250252008438,1.0295566502463055e-05,,,,,,,,,,,,,,,,,
435,3.085,0.0156,0.22900669276714325,1.0172413793103449e-05,,,,,,,,,,,,,,,,,
440,3.121,0.0154,0.27048105001449585,1.0049261083743844e-05,,,,,,,,,,,,,,,,,
445,3.156,0.0131,0.1322261393070221,9.926108374384236e-06,,,,,,,,,,,,,,,,,
450,3.191,0.0143,0.1577938199043274,9.802955665024631e-06,,,,,,,,,,,,,,,,,
455,3.227,0.0143,0.25297266244888306,9.679802955665025e-06,,,,,,,,,,,,,,,,,
460,3.262,0.0152,0.25443121790885925,9.55665024630542e-06,,,,,,,,,,,,,,,,,
465,3.298,0.0149,0.1594567745923996,9.433497536945814e-06,,,,,,,,,,,,,,,,,
470,3.333,0.0125,0.2958132326602936,9.310344827586207e-06,,,,,,,,,,,,,,,,,
470,3.333,,,,0.6088154269472449,0.6286407766490757,0.6519499631582742,0.7202680066500639,0.7005780346320007,0.9099756690493165,0.7751196171745143,0.7136210706086414,44.628,15.685,0.134,,,,,,
475,3.369,0.0149,0.16790533065795898,9.187192118226603e-06,,,,,,,,,,,,,,,,,
480,3.404,0.013,0.16058136522769928,9.064039408866996e-06,,,,,,,,,,,,,,,,,
485,3.44,0.0146,0.2780064344406128,8.94088669950739e-06,,,,,,,,,,,,,,,,,
490,3.475,0.0149,0.23009082674980164,8.817733990147784e-06,,,,,,,,,,,,,,,,,
495,3.511,0.014,0.25965920090675354,8.694581280788177e-06,,,,,,,,,,,,,,,,,
500,3.546,0.0144,0.23274309933185577,8.571428571428571e-06,,,,,,,,,,,,,,,,,
505,3.582,0.016,0.2354194074869156,8.448275862068966e-06,,,,,,,,,,,,,,,,,
510,3.617,0.0132,0.2235344797372818,8.32512315270936e-06,,,,,,,,,,,,,,,,,
