step,epoch,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,11.6594,8.577,0.086,,,,,,,,,
5,0.714,,,,,,1.4461,7.523280620574951,2e-05,,,,,,
7,1.0,0.0,0.0,9.8206,10.183,0.102,,,,,,,,,
10,1.429,,,,,,1.1471,3.5079119205474854,2e-05,,,,,,
10,1.429,0.0,0.0,9.8782,10.123,0.101,,,,,,,,,
14,2.0,0.0,0.0,9.775,10.23,0.102,,,,,,,,,
15,2.143,,,,,,0.7285,2.39908766746521,2e-05,,,,,,
18,2.571,0.0,0.0,9.7649,10.241,0.102,,,,,,,,,
20,2.857,,,,,,0.5296,1.6013587713241577,2e-05,,,,,,
21,3.0,0.0033057851220020485,0.0033057851220020485,9.7685,10.237,0.102,,,,,,,,,
24,3.429,0.006339144205900628,0.006339144205900628,9.7849,10.22,0.102,,,,,,,,,
25,3.571,,,,,,0.3995,1.1333600282669067,2e-05,,,,,,
28,4.0,0.05943536402201405,0.05943536402201405,9.7889,10.216,0.102,,,,,,,,,
30,4.286,,,,,,0.3071,0.8710326552391052,2e-05,,,,,,
32,4.571,0.12186379924242609,0.12186379924242609,9.7815,10.223,0.102,,,,,,,,,
35,5.0,,,,,,0.2354,0.7711356282234192,2e-05,,,,,,
35,5.0,0.14131501467182914,0.14131501467182914,9.7774,10.228,0.102,,,,,,,,,
38,5.429,0.1603603603106457,0.1603603603106457,9.777,10.228,0.102,,,,,,,,,
40,5.714,,,,,,0.2002,0.6966378688812256,2e-05,,,,,,
42,6.0,0.22013651872131806,0.22013651872131806,9.7899,10.215,0.102,,,,,,,,,
45,6.429,,,,,,0.1675,0.6063816547393799,2e-05,,,,,,
46,6.571,0.28454619782405444,0.28454619782405444,9.9682,10.032,0.1,,,,,,,,,
49,7.0,0.3126550867985876,0.3126550867985876,10.0107,9.989,0.1,,,,,,,,,
50,7.143,,,,,,0.1496,0.6446938514709473,2e-05,,,,,,
52,7.429,0.3374083129084081,0.3374083129084081,9.7989,10.205,0.102,,,,,,,,,
55,7.857,,,,,,0.1305,0.5708654522895813,2e-05,,,,,,
56,8.0,0.3629096722122219,0.3629096722122219,9.7748,10.23,0.102,,,,,,,,,
60,8.571,,,,,,0.1176,0.5235240459442139,2e-05,,,,,,
60,8.571,0.35667752437993916,0.35667752437993916,9.7815,10.223,0.102,,,,,,,,,
63,9.0,0.36661211124292165,0.36661211124292165,9.7448,10.262,0.103,,,,,,,,,
65,9.286,,,,,,0.0995,0.4365238845348358,2e-05,,,,,,
66,9.429,0.38532110086736693,0.38532110086736693,9.7614,10.244,0.102,,,,,,,,,
70,10.0,,,,,,0.101,0.501444399356842,2e-05,,,,,,
70,10.0,0.3966101694414698,0.3966101694414698,9.7694,10.236,0.102,,,,,,,,,
74,10.571,0.42222222217217864,0.42222222217217864,9.7686,10.237,0.102,,,,,,,,,
75,10.714,,,,,,0.0894,0.3573790192604065,2e-05,,,,,,
77,11.0,0.4542372880855278,0.4542372880855278,9.7788,10.226,0.102,,,,,,,,,
80,11.429,,,,,,0.0875,0.5640994906425476,2e-05,,,,,,
80,11.429,0.487479131836396,0.487479131836396,9.7622,10.244,0.102,,,,,,,,,
84,12.0,0.5075376883921265,0.5075376883921265,9.777,10.228,0.102,,,,,,,,,
84,12.0,,,,,,,,,255.4356,9.396,0.329,910288614326272.0,0.910288614326272,0.35735648018973215
