step,epoch,loss,grad_norm,learning_rate
1,0.0,12.357,116.54240417480469,0.0
2,0.001,12.0906,100.14130401611328,1.8550535861363603e-06
3,0.001,13.7848,153.40667724609375,2.940190370854435e-06
4,0.001,13.6381,155.57994079589844,3.7101071722727205e-06
5,0.001,11.0042,78.24392700195312,4.3073010391715685e-06
6,0.002,11.1343,113.74622344970703,4.795243956990795e-06
7,0.002,10.2537,95.15038299560547,5.207793815720521e-06
8,0.002,8.4661,55.108489990234375,5.56516075840908e-06
9,0.002,7.6222,62.11378479003906,5.88038074170887e-06
10,0.003,6.8122,57.83427047729492,6.16235462530793e-06
11,0.003,4.2019,41.33608627319336,6.417431030146632e-06
12,0.003,5.4991,35.88975143432617,6.6502975431271555e-06
13,0.004,4.377,24.685094833374023,6.864513969419055e-06
14,0.004,1.503,9.875235557556152,7.06284740185688e-06
15,0.004,3.6226,23.196819305419922,7.247491410026003e-06
16,0.004,2.9285,33.960693359375,7.420214344545441e-06
17,0.005,2.2462,23.290010452270508,7.582462601860559e-06
18,0.005,2.6331,31.363784790039062,7.735434327845229e-06
19,0.005,2.8305,21.317729949951172,7.880133167460836e-06
20,0.005,0.8286,20.462575912475586,8.01740821144429e-06
21,0.006,2.1549,20.975831985473633,8.147984186574955e-06
22,0.006,2.3671,22.15937614440918,8.272484616282994e-06
23,0.006,1.8719,16.17646026611328,8.39144982869357e-06
24,0.007,0.9244,46.02426528930664,8.505351129263515e-06
25,0.007,1.6816,16.858793258666992,8.614602078343137e-06
26,0.007,1.0551,10.979592323303223,8.719567555555415e-06
27,0.007,0.9728,9.209585189819336,8.820571112563303e-06
28,0.008,0.488,7.7586541175842285,8.917900987993241e-06
29,0.008,0.978,9.708888053894043,9.011815066393688e-06
30,0.008,1.1522,15.497061729431152,9.102544996162364e-06
31,0.008,1.0873,12.343416213989258,9.190299632006698e-06
32,0.009,0.4683,8.571946144104004,9.275267930681802e-06
33,0.009,1.3349,16.484079360961914,9.357621401001066e-06
34,0.009,0.8903,13.603686332702637,9.43751618799692e-06
35,0.01,1.5141,13.80819034576416,9.51509485489209e-06
36,0.01,1.0344,11.426682472229004,9.59048791398159e-06
37,0.01,1.2111,15.744688034057617,9.663815147720117e-06
38,0.01,0.8475,15.638947486877441,9.735186753597195e-06
39,0.011,0.5001,8.654576301574707,9.80470434027349e-06
40,0.011,0.7151,7.475112438201904,9.87246179758065e-06
41,0.011,1.0886,9.39683723449707,9.938546059078822e-06
42,0.011,0.7164,5.688631534576416,1.0003037772711317e-05
