step,epoch,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,47.558,2.103,0.021,,,,,,,,,
4,1.0,0.0,0.0,40.4327,2.473,0.025,,,,,,,,,
5,1.25,,,,,,0.9113,3.777303457260132,2e-05,,,,,,
6,1.5,0.0,0.0,18.4589,5.417,0.054,,,,,,,,,
8,2.0,0.0,0.0,18.5132,5.402,0.054,,,,,,,,,
10,2.5,,,,,,0.5274,1.3401352167129517,2e-05,,,,,,
10,2.5,0.10467289716653543,0.10467289716653543,18.269,5.474,0.055,,,,,,,,,
12,3.0,0.1525129982302713,0.1525129982302713,18.4796,5.411,0.054,,,,,,,,,
14,3.5,0.16747181960410953,0.16747181960410953,18.8462,5.306,0.053,,,,,,,,,
15,3.75,,,,,,0.3057,1.1160427331924438,2e-05,,,,,,
16,4.0,0.2785515319857699,0.2785515319857699,18.5093,5.403,0.054,,,,,,,,,
18,4.5,0.34577114422892197,0.34577114422892197,18.4492,5.42,0.054,,,,,,,,,
20,5.0,,,,,,0.2057,0.5577982068061829,2e-05,,,,,,
20,5.0,0.40603248254852686,0.40603248254852686,17.3428,5.766,0.058,,,,,,,,,
22,5.5,0.4241733180798919,0.4241733180798919,18.4343,5.425,0.054,,,,,,,,,
24,6.0,0.44292237437912263,0.44292237437912263,11.6213,8.605,0.086,,,,,,,,,
25,6.25,,,,,,0.1659,0.5011101961135864,2e-05,,,,,,
26,6.5,0.46171428566418027,0.46171428566418027,11.5906,8.628,0.086,,,,,,,,,
28,7.0,0.47890535912891025,0.47890535912891025,11.5448,8.662,0.087,,,,,,,,,
30,7.5,,,,,,0.1354,0.4046606719493866,2e-05,,,,,,
30,7.5,0.48993288585595096,0.48993288585595096,11.5024,8.694,0.087,,,,,,,,,
32,8.0,0.5260821309155156,0.5260821309155156,11.5122,8.686,0.087,,,,,,,,,
34,8.5,0.5340782122404059,0.5340782122404059,11.4856,8.707,0.087,,,,,,,,,
35,8.75,,,,,,0.1103,0.4798022210597992,2e-05,,,,,,
36,9.0,0.5582959640754515,0.5582959640754515,11.5407,8.665,0.087,,,,,,,,,
38,9.5,0.5707865168038166,0.5707865168038166,12.264,8.154,0.082,,,,,,,,,
40,10.0,,,,,,0.0948,0.3647792339324951,2e-05,,,,,,
40,10.0,0.5788288287787077,0.5788288287787077,12.0204,8.319,0.083,,,,,,,,,
42,10.5,0.5775280898375231,0.5775280898375231,12.0035,8.331,0.083,,,,,,,,,
44,11.0,0.5772266064887727,0.5772266064887727,11.9954,8.337,0.083,,,,,,,,,
45,11.25,,,,,,0.0866,0.3856237828731537,2e-05,,,,,,
46,11.5,0.5850340135553119,0.5850340135553119,12.1289,8.245,0.082,,,,,,,,,
48,12.0,0.5954545454044112,0.5954545454044112,11.8012,8.474,0.085,,,,,,,,,
48,12.0,,,,,,,,,425.5714,2.82,0.113,1750399233032192.0,1.750399233032192,0.26906585693359375
