epoch,eval_average,eval_crossner_ai,eval_crossner_music
0.5,0.20382384328440664,0.1151515151027217,0.2924961714660916
1.0,0.5050379112970277,0.4488286066085036,0.5612472159855517
1.5,0.5523882708746592,0.4928909952109959,0.6118855465383226
2.0,0.6115039342251869,0.5243179121685828,0.6986899562817911
2.5,0.6414721823175727,0.5656324581841451,0.7173119064510004
3.0,0.6540701504230846,0.575539568295538,0.7326007325506313
3.5,0.6727058043278024,0.5900846432391438,0.7553269654164609
4.0,0.6747260480046544,0.613300492560861,0.7361516034484479
4.5,0.6948340745308066,0.6329113923549573,0.7567567567066558
5.0,0.6749053511596027,0.6065773446516767,0.7432333576675287
5.5,0.6894518281785368,0.6342072408987623,0.7446964154583112
6.0,0.6892732557638799,0.6299999999499438,0.748546511577816
6.5,0.7028474003082379,0.6433041301126383,0.7623906705038376
7.0,0.7023521114728303,0.6505102040314993,0.7541940189141613
7.5,0.7028223150473305,0.6433915211469593,0.7622531089477016
8.0,0.7034285983276011,0.6451612902725563,0.7616959063826458
8.5,0.7157171613035209,0.6717557251407079,0.759678597466334
9.0,0.7226639500136407,0.6768837802819129,0.7684441197453684
9.5,0.7068841302063755,0.6515151514650496,0.7622531089477016
10.0,0.7082219250835835,0.6590909090408051,0.7573529411263618
10.5,0.7133612877902313,0.6641221373544504,0.7626004382260122
11.0,0.7192384537964407,0.6718346252728323,0.7666422823200492
11.5,0.7196976382537756,0.670951156762183,0.7684441197453684
12.0,0.7161940238223913,0.6575342465252967,0.7748538011194859
