epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_science
0.5,0.03169640199541273,0.0052083333322943,0.0483870967396002,0.0414937759143437
1.0,0.2021856974938631,0.1102941176051957,0.1969057664761201,0.2993572084002735
1.5,0.27100208274121446,0.1858190708548179,0.2791208790741828,0.3480662982946426
2.0,0.3427527379657353,0.2541666666186979,0.3737191078480126,0.4003724394304953
2.5,0.36690988729065754,0.2539682539190913,0.2916432977655913,0.55511811018729
3.0,0.4404925514333407,0.3653179190257417,0.4571780652625105,0.4989816700117699
3.5,0.4795095094124801,0.3683035713795743,0.5211267605142345,0.5490981963436316
4.0,0.46496800311116787,0.369727047096446,0.435146443466456,0.5900305187706016
4.5,0.5040322371930007,0.3687782804938243,0.5274584929266183,0.6158599381585596
5.0,0.5654008900829225,0.436956521690473,0.6141522028876556,0.6450939456706392
5.5,0.5614734628483476,0.4406417111815246,0.6248313089921476,0.618947368371371
6.0,0.579955755954169,0.461052631530767,0.6384105959769668,0.6404040403547732
6.5,0.5746121776175154,0.4233261338607261,0.6492985971447841,0.6512118018470359
7.0,0.5920803019488413,0.4334862384827777,0.6867717614306509,0.6559829059330955
7.5,0.5943847149110314,0.4788418707750601,0.6418918918421909,0.6624203821158434
8.0,0.6116102010880885,0.4845005740034562,0.6886597937645986,0.6616702354962107
8.5,0.6225697522334399,0.4837209301830686,0.7023643949431355,0.6816239315741156
9.0,0.6174930874110481,0.4957446808027111,0.6717451523046893,0.6849894291257441
9.5,0.6276025442615604,0.5164319248330412,0.6983471073881671,0.6680286005634726
10.0,0.6372685001549456,0.5254629629135111,0.6885694729139178,0.697773064637408
10.5,0.6421746229856117,0.5360824741774607,0.7044198894528941,0.6860215053264799
11.0,0.6498515086599069,0.5482352940680298,0.6949270326116651,0.7063921993000258
11.5,0.6516416609783232,0.5506912441902223,0.7064606741073393,0.697773064637408
12.0,0.6588729520974934,0.5754060324331114,0.7092297015462148,0.6919831223131541
