acc,epoch,loss,step,test_F1c,test_F1e,test_acc,test_loss,val_F1c,val_F1e,val_acc,val_loss
0.08878504484891891,0.01,2.6028101444244385,1,,,,,,,,
0.06072874367237091,0.02,2.6104202270507812,2,,,,,,,,
0.1111111119389534,0.03,2.6007654666900635,3,,,,,,,,
0.11417322605848312,0.04,2.5874814987182617,4,,,,,,,,
0.0036231884732842445,0.05,1.3903493881225586,5,,,,,,,,
0.0,0.06,0.7196892499923706,6,,,,,,,,
0.0,0.07,0.43790581822395325,7,,,,,,,,
0.0,0.08,0.2930569350719452,8,,,,,,,,
0.0,0.09,0.263484925031662,9,,,,,,,,
0.0,0.1,0.25948411226272583,10,,,,,,,,
0.0,0.11,0.24804002046585083,11,,,,,,,,
0.0,0.12,0.24941234290599823,12,,,,,,,,
0.0,0.13,0.2494710087776184,13,,,,,,,,
0.0,0.14,0.21707981824874878,14,,,,,,,,
0.0,0.15,0.23450027406215668,15,,,,,,,,
0.0,0.16,0.2206849306821823,16,,,,,,,,
0.0,0.17,0.2238268256187439,17,,,,,,,,
0.0,0.18,0.19527669250965118,18,,,,,,,,
0.0,0.19,0.20882552862167358,19,,,,,,,,
0.0,0.2,0.23029068112373352,20,,,,,,,,
,0.2,,20,,,,,6.648424039728387,0.0,0.0,0.2960900068283081
0.0,0.21,0.22412346303462982,21,,,,,,,,
0.0,0.22,0.18749715387821198,22,,,,,,,,
0.0,0.23,0.19664905965328217,23,,,,,,,,
0.0,0.24,0.19927841424942017,24,,,,,,,,
0.0,0.25,0.1716841459274292,25,,,,,,,,
0.0,0.26,0.1493968516588211,26,,,,,,,,
0.0,0.27,0.18164438009262085,27,,,,,,,,
0.0,0.28,0.17966420948505402,28,,,,,,,,
0.0,0.29,0.2004009187221527,29,,,,,,,,
0.0,0.3,0.16779810190200806,30,,,,,,,,
0.0033783784601837397,0.31,0.17148011922836304,31,,,,,,,,
0.015267175622284412,0.32,0.14460337162017822,32,,,,,,,,
0.020661156624555588,0.33,0.1337483525276184,33,,,,,,,,
0.0731707289814949,0.34,0.12001408636569977,34,,,,,,,,
0.1269230842590332,0.35,0.13670603930950165,35,,,,,,,,
0.20469798147678375,0.36,0.1416008174419403,36,,,,,,,,
0.23353293538093567,0.37,0.1543344110250473,37,,,,,,,,
0.3177570104598999,0.38,0.1057402715086937,38,,,,,,,,
0.2925764322280884,0.39,0.11072804778814316,39,,,,,,,,
0.371335506439209,0.4,0.1311526596546173,40,,,,,,,,
,0.4,,40,,,,,27.49025891430264,16.653120046116154,0.4218887984752655,0.14765775203704834
0.4172413647174835,0.41,0.12274112552404404,41,,,,,,,,
0.38532111048698425,0.42,0.0984099954366684,42,,,,,,,,
0.4079602062702179,0.43,0.09338679909706116,43,,,,,,,,
0.43852460384368896,0.44,0.10841915011405945,44,,,,,,,,
0.45192307233810425,0.45,0.1255321055650711,45,,,,,,,,
0.44859811663627625,0.46,0.12844213843345642,46,,,,,,,,
0.4203389883041382,0.47,0.11635777354240417,47,,,,,,,,
0.45116278529167175,0.48,0.08386396616697311,48,,,,,,,,
0.6060606241226196,0.49,0.09465492516756058,49,,,,,,,,
0.6359447240829468,0.5,0.07758018374443054,50,,,,,,,,
0.6409090757369995,0.51,0.07179167866706848,51,,,,,,,,
0.553505539894104,0.52,0.08897750079631805,52,,,,,,,,
0.5219123363494873,0.53,0.08225547522306442,53,,,,,,,,
0.589211642742157,0.54,0.07511971145868301,54,,,,,,,,
0.7388059496879578,0.55,0.06625325232744217,55,,,,,,,,
0.7673611044883728,0.56,0.07281849533319473,56,,,,,,,,
0.7692307829856873,0.57,0.06700672954320908,57,,,,,,,,
0.7423728704452515,0.58,0.07844963669776917,58,,,,,,,,
0.6407407522201538,0.59,0.08171867579221725,59,,,,,,,,
0.7843137383460999,0.6,0.05928395316004753,60,,,,,,,,
,0.6,,60,,,,,67.73811720452142,53.56459431638788,0.7775816321372986,0.07798729836940765
0.7222222089767456,0.61,0.05841342359781265,61,,,,,,,,
0.6333333253860474,0.62,0.0802137479186058,62,,,,,,,,
0.7286245226860046,0.63,0.06398619711399078,63,,,,,,,,
0.7368420958518982,0.64,0.06840761750936508,64,,,,,,,,
0.748062014579773,0.65,0.060982778668403625,65,,,,,,,,
0.8202247023582458,0.66,0.05717910826206207,66,,,,,,,,
0.733031690120697,0.67,0.05728767439723015,67,,,,,,,,
0.7429718971252441,0.68,0.05403969809412956,68,,,,,,,,
0.7248908281326294,0.69,0.049584388732910156,69,,,,,,,,
0.7857142686843872,0.7,0.055644046515226364,70,,,,,,,,
0.7836734652519226,0.71,0.05165356770157814,71,,,,,,,,
0.7268907427787781,0.72,0.05852152779698372,72,,,,,,,,
0.7894737124443054,0.73,0.052212271839380264,73,,,,,,,,
0.8325123190879822,0.74,0.03700380027294159,74,,,,,,,,
0.8160919547080994,0.75,0.052120599895715714,75,,,,,,,,
0.817829430103302,0.76,0.04692602530121803,76,,,,,,,,
0.7669491767883301,0.77,0.047085147351026535,77,,,,,,,,
0.7984496355056763,0.78,0.05013915151357651,78,,,,,,,,
0.8092307448387146,0.79,0.061460498720407486,79,,,,,,,,
0.7435064911842346,0.8,0.054974932223558426,80,,,,,,,,
,0.8,,80,,,,,74.20114849662701,62.95267901772226,0.8640776872634888,0.051111698150634766
0.80402010679245,0.81,0.04010932892560959,81,,,,,,,,
0.8908296823501587,0.82,0.03395629674196243,82,,,,,,,,
0.8594771027565002,0.83,0.04975708946585655,83,,,,,,,,
0.782608687877655,0.84,0.0432746596634388,84,,,,,,,,
0.8931623697280884,0.85,0.03259265795350075,85,,,,,,,,
0.7931034564971924,0.86,0.047620825469493866,86,,,,,,,,
0.900343656539917,0.87,0.042377833276987076,87,,,,,,,,
0.8040816187858582,0.88,0.0364348441362381,88,,,,,,,,
0.8883495330810547,0.89,0.03318921476602554,89,,,,,,,,
0.8339768052101135,0.9,0.0415959469974041,90,,,,,,,,
0.8777429461479187,0.91,0.03560960665345192,91,,,,,,,,
0.8649635314941406,0.92,0.03458737954497337,92,,,,,,,,
