step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.006,0.5825,8.63490104675293,5.381462829997033e-06,,,,,,,,,,,,,,,,,
10,0.012,0.3051,4.322505474090576,7.699132719020058e-06,,,,,,,,,,,,,,,,,
15,0.018,0.15,3.8407723903656006,9.05488269314909e-06,,,,,,,,,,,,,,,,,
20,0.024,0.1129,3.2588558197021484,1.001680260804308e-05,,,,,,,,,,,,,,,,,
25,0.03,0.0809,1.7190009355545044,1.0762925659994066e-05,,,,,,,,,,,,,,,,,
30,0.036,0.0729,2.713549852371216,1.1372552582172113e-05,,,,,,,,,,,,,,,,,
35,0.042,0.065,1.786845088005066,1.1887984800650519e-05,,,,,,,,,,,,,,,,,
40,0.048,0.0594,0.8609691262245178,1.2334472497066103e-05,,,,,,,,,,,,,,,,,
45,0.055,0.0542,0.5927493572235107,1.2728302556301145e-05,,,,,,,,,,,,,,,,,
50,0.061,0.0535,0.5668410062789917,1.308059554901709e-05,,,,,,,,,,,,,,,,,
55,0.067,0.0504,0.7819388508796692,1.3399283325646878e-05,,,,,,,,,,,,,,,,,
60,0.073,0.049,0.4519084393978119,1.3690222471195137e-05,,,,,,,,,,,,,,,,,
65,0.079,0.0488,0.45400285720825195,1.3957860540877486e-05,,,,,,,,,,,,,,,,,
70,0.085,0.0474,0.5067660212516785,1.4205654689673544e-05,,,,,,,,,,,,,,,,,
75,0.091,0.0466,0.4362829923629761,1.4436345523146123e-05,,,,,,,,,,,,,,,,,
80,0.097,0.0438,0.5346341133117676,1.4652142386089125e-05,,,,,,,,,,,,,,,,,
85,0.103,0.0463,0.7718464732170105,1.4854852379663441e-05,,,,,,,,,,,,,,,,,
90,0.109,0.0445,0.8955128192901611,1.5045972445324168e-05,,,,,,,,,,,,,,,,,
95,0.115,0.0438,1.0805050134658813,1.5226756518657677e-05,,,,,,,,,,,,,,,,,
100,0.121,0.0451,0.6605945825576782,1.5398265438040116e-05,,,,,,,,,,,,,,,,,
105,0.127,0.0414,0.3935721516609192,1.5561404663802574e-05,,,,,,,,,,,,,,,,,
110,0.133,0.0423,0.34878817200660706,1.5716953214669903e-05,,,,,,,,,,,,,,,,,
115,0.139,0.041,0.38836702704429626,1.5865586166680462e-05,,,,,,,,,,,,,,,,,
120,0.145,0.0404,0.5763735771179199,1.600789236021816e-05,,,,,,,,,,,,,,,,,
125,0.152,0.0399,0.6142232418060303,1.6144388489991102e-05,,,,,,,,,,,,,,,,,
130,0.158,0.0375,0.457793265581131,1.627553042990051e-05,,,,,,,,,,,,,,,,,
135,0.164,0.0376,0.44654425978660583,1.6401722419453202e-05,,,,,,,,,,,,,,,,,
140,0.17,0.04,0.4559710621833801,1.6523324578696566e-05,,,,,,,,,,,,,,,,,
