step,epoch,loss,grad_norm,learning_rate
38,0.117,0.3281,4.638681411743164,1.4406692604717018e-05
39,0.12,0.1787,4.620675086975098,1.4509568751545642e-05
40,0.123,0.2954,5.417893409729004,1.4609840157098372e-05
41,0.126,0.0208,2.752507209777832,1.4707635470687207e-05
42,0.129,0.1925,2.659651041030884,1.4803074039804688e-05
43,0.132,0.0034,0.41764184832572937,1.489626678580146e-05
44,0.135,0.2738,4.632831573486328,1.4987316978882984e-05
45,0.138,0.1984,2.694593906402588,1.5076320926004632e-05
46,0.142,0.6661,8.325654029846191,1.516336858315455e-05
47,0.145,0.0008,0.08473534137010574,1.5248544101783553e-05
48,0.148,0.4987,7.586793422698975,1.5331926317702613e-05
49,0.151,0.1626,2.422922134399414,1.5413589189567218e-05
50,0.154,0.1123,1.926138162612915,1.5493602193060847e-05
51,0.157,0.0141,1.5510605573654175,1.5572030676042347e-05
52,0.16,0.185,4.702301979064941,1.5648936179206104e-05
53,0.163,0.3381,4.769631862640381,1.572437672619734e-05
54,0.166,0.1476,6.064055442810059,1.579840708660888e-05
55,0.169,0.0001,0.009009084664285183,1.5871079014845462e-05
56,0.172,0.2413,5.308028221130371,1.5942441467465145e-05
57,0.175,0.1348,4.2882771492004395,1.601254080128374e-05
58,0.178,0.0001,0.006340577267110348,1.6081420954250086e-05
59,0.182,0.1797,5.827970027923584,1.6149123610859542e-05
60,0.185,0.3087,5.657358169555664,1.621568835366509e-05
61,0.188,0.4963,7.834060192108154,1.6281152802265136e-05
62,0.191,0.2991,4.720413684844971,1.634555274098987e-05
63,0.194,0.0019,0.1929001659154892,1.6408922236371406e-05
64,0.197,0.209,8.37012767791748,1.647129374536307e-05
65,0.2,0.2444,5.355711460113525,1.6532698215168577e-05
66,0.203,0.4084,7.877480983734131,1.6593165175449705e-05
67,0.206,0.0525,5.067914009094238,1.6652722823600273e-05
68,0.209,0.118,2.4016613960266113,1.6711398103702808e-05
69,0.212,0.0058,0.577094554901123,1.676921677972127e-05
70,0.215,0.0009,0.08083805441856384,1.682620350342762e-05
71,0.218,0.2189,3.912457227706909,1.6882381877510342e-05
72,0.222,0.1993,2.9153530597686768,1.6937774514269333e-05
73,0.225,0.3321,5.205680847167969,1.699240309026253e-05
74,0.228,0.0,0.0042738295160233974,1.7046288397234637e-05
75,0.231,0.0,0.0034230146557092667,1.7099450389627567e-05
76,0.234,0.0,0.0026583566796034575,1.71519082289442e-05
77,0.237,0.1914,4.010998725891113,1.7203680325212237e-05
78,0.24,0.2656,3.05599308013916,1.725478437577282e-05
79,0.243,0.1807,1.8033744096755981,1.730523740159828e-05
80,0.246,0.1846,4.1645097732543945,1.7355055781325548e-05
81,0.249,0.1642,2.549837112426758,1.74042552831756e-05
82,0.252,0.0018,0.16065776348114014,1.7452851094914385e-05
83,0.255,0.3758,5.122497081756592,1.750085785199793e-05
84,0.258,0.0392,3.546004295349121,1.7548289664031864e-05
85,0.262,0.0243,2.2207112312316895,1.7595160139665285e-05
86,0.265,0.0041,0.3895679712295532,1.7641482410028637e-05
87,0.268,0.0008,0.07792345434427261,1.768726915081681e-05
88,0.271,0.2521,2.6796813011169434,1.7732532603110167e-05
89,0.274,0.0001,0.006535813212394714,1.777728459301923e-05
90,0.277,0.2119,3.5510377883911133,1.7821536550231814e-05
91,0.28,0.2852,3.0780832767486572,1.786529952553535e-05
92,0.283,0.5323,7.7226243019104,1.790858420738173e-05
93,0.286,0.0002,0.021149585023522377,1.7951400937556594e-05
94,0.289,0.0007,0.07001636922359467,1.7993759726010735e-05
95,0.292,0.0014,0.15064072608947754,1.8035670264906676e-05
96,0.295,0.0024,0.2540340721607208,1.807714194192979e-05
97,0.298,0.6074,7.492356300354004,1.8118183852909708e-05
98,0.302,0.0056,0.581570029258728,1.8158804813794396e-05
99,0.305,0.5685,6.317982196807861,1.8199013372016425e-05
100,0.308,0.0062,0.65681391954422,1.823881781728803e-05
101,0.311,0.247,3.5140581130981445,1.827822619185904e-05
102,0.314,0.116,1.3711931705474854,1.8317246300269525e-05
103,0.317,0.4527,5.955812931060791,1.835588571862664e-05
104,0.32,0.2245,2.1175639629364014,1.839415180343328e-05
105,0.323,0.3385,3.917367458343506,1.843205169999434e-05
106,0.326,0.0037,0.37543562054634094,1.8469592350424518e-05
107,0.329,0.0053,0.5435523986816406,1.850678050128014e-05
108,0.332,0.003,0.31001806259155273,1.8543622710836056e-05
109,0.335,0.0011,0.1140538677573204,1.8580125356027098e-05
110,0.338,0.135,2.3945112228393555,1.8616294639072644e-05
111,0.342,0.0002,0.018147172406315804,1.8652136593801354e-05
112,0.345,0.0001,0.00992264598608017,1.8687657091692323e-05
113,0.348,0.0001,0.0057851895689964294,1.8722861847647683e-05
114,0.351,0.0,0.003646662924438715,1.875775642551092e-05
115,0.354,0.0,0.0025418053846806288,1.8792346243344206e-05
116,0.357,0.2217,3.5577125549316406,1.8826636578477267e-05
117,0.36,0.0,0.0018582006450742483,1.8860632572339544e-05
118,0.363,0.2188,5.7776007652282715,1.8894339235086723e-05
119,0.366,0.0,0.002242796588689089,1.892776145003206e-05
120,0.369,0.1465,4.412458419799805,1.8960903977892268e-05
121,0.372,0.4815,10.369810104370117,1.8993771460857255e-05
122,0.375,0.0001,0.004681545775383711,1.9026368426492314e-05
123,0.378,0.1749,2.521671772003174,1.9058699291481105e-05
124,0.382,0.5167,5.958058834075928,1.909076836521705e-05
125,0.385,0.0011,0.09846771508455276,1.9122579853250506e-05
126,0.388,0.126,1.3709293603897095,1.9154137860598584e-05
127,0.391,0.3962,7.47223424911499,1.9185446394924175e-05
128,0.394,0.2728,20.984712600708008,1.921650936959025e-05
129,0.397,0.1578,4.496647357940674,1.9247330606595357e-05
130,0.4,0.1367,4.061131477355957,1.9277913839395755e-05
131,0.403,0.0183,1.6247731447219849,1.9308262715619427e-05
132,0.406,0.5095,8.314146041870117,1.9338380799676883e-05
133,0.409,0.0005,0.03711085394024849,1.936827157527345e-05
134,0.412,0.0001,0.009705867618322372,1.9397938447827454e-05
135,0.415,0.3067,3.855449676513672,1.9427384746798534e-05
136,0.418,0.0001,0.004593286197632551,1.9456613727929986e-05
137,0.422,0.0001,0.004138983320444822,1.9485628575409026e-05
138,0.425,0.0,0.003953879699110985,1.9514432403948452e-05
139,0.428,0.0,0.0036136668641120195,1.9543028260793163e-05
140,0.431,0.4141,6.123189449310303,1.95714191276548e-05
141,0.434,0.0,0.003893353743478656,1.959960792257745e-05
142,0.437,0.1455,1.7949892282485962,1.962759750173752e-05
143,0.44,0.1827,1.8760026693344116,1.965539066118037e-05
144,0.443,0.5977,5.939871311187744,1.9682990138496514e-05
145,0.446,0.0001,0.004750797990709543,1.9710398614439744e-05
146,0.449,0.0001,0.004668965470045805,1.9737618714489707e-05
147,0.452,0.0001,0.00615179818123579,1.9764653010361116e-05
148,0.455,0.0001,0.007885060273110867,1.9791504021461812e-05
149,0.458,0.0001,0.006840934045612812,1.9818174216301733e-05
150,0.462,0.4317,5.028691291809082,1.9844666013854745e-05
151,0.465,0.0002,0.009975300170481205,1.987098178487527e-05
152,0.468,0.1564,1.5114318132400513,1.9897123853171377e-05
153,0.471,0.0004,0.022491944953799248,1.9923094496836245e-05
154,0.474,0.0006,0.03701255843043327,1.9948895949439418e-05
155,0.477,0.2545,3.0428597927093506,1.997453040117953e-05
156,0.48,0.329,6.958393573760986,2e-05
157,0.483,0.2083,2.3914003372192383,2e-05
158,0.486,0.003,0.21002037823200226,1.999465811965812e-05
159,0.489,0.4776,5.30642557144165,1.9989316239316243e-05
160,0.492,0.1771,4.591587066650391,1.998397435897436e-05
161,0.495,0.2819,4.007504463195801,1.997863247863248e-05
162,0.498,0.0199,1.510241985321045,1.99732905982906e-05
163,0.502,0.0101,0.779800295829773,1.996794871794872e-05
164,0.505,0.0026,0.2086189091205597,1.996260683760684e-05
165,0.508,0.0006,0.05038999766111374,1.995726495726496e-05
166,0.511,0.1857,2.349696159362793,1.9951923076923078e-05
167,0.514,0.3399,5.7135491371154785,1.99465811965812e-05
168,0.517,0.4834,10.397636413574219,1.994123931623932e-05
169,0.52,0.1328,2.5837581157684326,1.9935897435897437e-05
170,0.523,0.0,0.0025227803271263838,1.9930555555555556e-05
171,0.526,0.0,0.002042794832959771,1.992521367521368e-05
172,0.529,0.1768,1.9617304801940918,1.9919871794871797e-05
173,0.532,0.2041,3.6113429069519043,1.9914529914529916e-05
174,0.535,0.2041,3.370497941970825,1.9909188034188035e-05
175,0.538,0.0001,0.0042111570946872234,1.9903846153846157e-05
176,0.542,0.5742,5.304627895355225,1.9898504273504276e-05
177,0.545,0.1808,1.9064990282058716,1.9893162393162395e-05
178,0.548,0.0003,0.023411892354488373,1.9887820512820513e-05
179,0.551,0.4173,4.101615905761719,1.9882478632478636e-05
180,0.554,0.116,1.3501226902008057,1.9877136752136754e-05
181,0.557,0.005,0.4253154397010803,1.9871794871794873e-05
182,0.56,0.0087,0.7272368669509888,1.9866452991452992e-05
183,0.563,0.0072,0.611240565776825,1.9861111111111114e-05
184,0.566,0.6143,7.675689220428467,1.9855769230769233e-05
185,0.569,0.0022,0.18479588627815247,1.9850427350427352e-05
186,0.572,0.3424,3.4893295764923096,1.984508547008547e-05
187,0.575,0.001,0.08104164898395538,1.9839743589743593e-05
188,0.578,0.3803,5.028836727142334,1.983440170940171e-05
189,0.582,0.2008,4.014784812927246,1.982905982905983e-05
190,0.585,0.0008,0.06580878794193268,1.982371794871795e-05
191,0.588,0.0009,0.06778895854949951,1.981837606837607e-05
192,0.591,0.0008,0.06365304440259933,1.981303418803419e-05
193,0.594,0.2604,5.598646640777588,1.980769230769231e-05
194,0.597,0.0008,0.061446305364370346,1.980235042735043e-05
195,0.6,0.1715,1.6809442043304443,1.979700854700855e-05
196,0.603,0.0009,0.06930846720933914,1.979166666666667e-05
197,0.606,0.7464,10.62621784210205,1.9786324786324788e-05
198,0.609,0.1758,2.4728174209594727,1.978098290598291e-05
199,0.612,0.0018,0.14229172468185425,1.977564102564103e-05
200,0.615,0.1677,4.374105930328369,1.9770299145299147e-05
201,0.618,0.0032,0.2575173079967499,1.9764957264957266e-05
202,0.622,0.2117,3.052577495574951,1.975961538461539e-05
203,0.625,0.255,3.2157068252563477,1.9754273504273507e-05
204,0.628,0.0076,0.6084336042404175,1.9748931623931626e-05
205,0.631,0.3242,3.6812446117401123,1.9743589743589745e-05
206,0.634,0.0081,0.6430761814117432,1.9738247863247867e-05
207,0.637,0.411,4.28275728225708,1.9732905982905986e-05
208,0.64,0.0046,0.3662545084953308,1.9727564102564105e-05
209,0.643,0.2503,10.04191780090332,1.9722222222222224e-05
210,0.646,0.1123,4.056755542755127,1.9716880341880346e-05
211,0.649,0.0019,0.15221840143203735,1.9711538461538465e-05
212,0.652,0.3551,3.9061334133148193,1.9706196581196583e-05
213,0.655,0.0011,0.08889178186655045,1.9700854700854702e-05
214,0.658,0.2107,5.28443717956543,1.9695512820512824e-05
215,0.662,0.0009,0.07367324084043503,1.9690170940170943e-05
216,0.665,0.0008,0.06586392223834991,1.9684829059829062e-05
217,0.668,0.0008,0.06315053254365921,1.967948717948718e-05
218,0.671,0.0006,0.050708603113889694,1.96741452991453e-05
219,0.674,0.0006,0.04416178539395332,1.966880341880342e-05
220,0.677,0.2093,1.8458962440490723,1.966346153846154e-05
221,0.68,0.1956,3.036247968673706,1.965811965811966e-05
222,0.683,0.2387,2.220365285873413,1.9652777777777778e-05
223,0.686,0.1667,2.950662851333618,1.9647435897435897e-05
224,0.689,0.0016,0.12136643379926682,1.964209401709402e-05
225,0.692,0.0022,0.17254376411437988,1.9636752136752138e-05
226,0.695,0.0027,0.21073466539382935,1.9631410256410257e-05
227,0.698,0.0029,0.2236379086971283,1.9626068376068376e-05
228,0.702,0.0025,0.18956218659877777,1.9620726495726498e-05
229,0.705,0.4316,3.9692444801330566,1.9615384615384617e-05
230,0.708,0.0018,0.13885655999183655,1.9610042735042735e-05
231,0.711,0.4334,4.100840091705322,1.9604700854700854e-05
232,0.714,0.1704,1.7236675024032593,1.9599358974358976e-05
233,0.717,0.1578,2.8263156414031982,1.9594017094017095e-05
234,0.72,0.1342,1.8659229278564453,1.9588675213675214e-05
235,0.723,0.2719,2.5154507160186768,1.9583333333333333e-05
236,0.726,0.1518,2.030776023864746,1.9577991452991455e-05
237,0.729,0.0297,2.324054718017578,1.9572649572649574e-05
238,0.732,0.0295,2.3212428092956543,1.9567307692307693e-05
239,0.735,0.0144,1.1533435583114624,1.956196581196581e-05
240,0.738,0.0035,0.28967055678367615,1.9556623931623934e-05
241,0.742,0.0007,0.061601217836141586,1.9551282051282052e-05
242,0.745,0.2853,4.780503749847412,1.954594017094017e-05
243,0.748,0.0001,0.004373656120151281,1.954059829059829e-05
244,0.751,0.0,0.0014506857842206955,1.9535256410256412e-05
245,0.754,0.21,1.7487720251083374,1.952991452991453e-05
246,0.757,0.0,0.0006023441674187779,1.952457264957265e-05
247,0.76,0.1992,1.9724920988082886,1.9519230769230772e-05
248,0.763,0.7422,5.171304702758789,1.951388888888889e-05
249,0.766,0.0,0.0009327703155577183,1.950854700854701e-05
250,0.769,0.5781,12.185480117797852,1.950320512820513e-05
251,0.772,0.6221,11.92419719696045,1.949786324786325e-05
252,0.775,0.0,0.0035459224600344896,1.949252136752137e-05
253,0.778,0.0001,0.00569413835182786,1.9487179487179488e-05
254,0.782,0.3829,3.118744134902954,1.9481837606837607e-05
255,0.785,0.0856,1.1339808702468872,1.947649572649573e-05
256,0.788,0.1742,2.3263936042785645,1.9471153846153848e-05
257,0.791,0.2245,4.149302005767822,1.9465811965811967e-05
258,0.794,0.0022,0.15367472171783447,1.9460470085470086e-05
259,0.797,0.1307,1.3093385696411133,1.9455128205128208e-05
