step,epoch,loss,grad_norm,learning_rate,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
5,0.035,1.6643,13.139716148376465,1.1886322578355742e-05,,,,,,,,,,,,,,,,,
10,0.071,0.4418,9.232951164245605,1.7005483074552054e-05,,,,,,,,,,,,,,,,,
15,0.106,0.1848,2.373156785964966,1.9999999999999998e-05,,,,,,,,,,,,,,,,,
20,0.142,0.108,2.1802241802215576,1.976331360946746e-05,,,,,,,,,,,,,,,,,
25,0.177,0.0826,1.4302492141723633,1.9467455621301777e-05,,,,,,,,,,,,,,,,,
30,0.213,0.0665,0.6412381529808044,1.9171597633136098e-05,,,,,,,,,,,,,,,,,
35,0.248,0.0527,0.8918590545654297,1.887573964497042e-05,,,,,,,,,,,,,,,,,
40,0.284,0.0502,0.9787517786026001,1.8579881656804736e-05,,,,,,,,,,,,,,,,,
45,0.319,0.0475,0.5875234603881836,1.8284023668639056e-05,,,,,,,,,,,,,,,,,
47,0.333,,,,0.33802816896601645,0.39633447875861544,0.4209748891672216,0.3646112600039298,0.44907407402405697,0.8329297820319285,0.746411483203236,0.5069091623078579,38.3699,18.243,0.156,,,,,,
50,0.355,0.0377,0.6068077683448792,1.7988165680473374e-05,,,,,,,,,,,,,,,,,
55,0.39,0.0355,0.7138042449951172,1.7692307692307694e-05,,,,,,,,,,,,,,,,,
60,0.426,0.036,0.47168251872062683,1.7396449704142012e-05,,,,,,,,,,,,,,,,,
65,0.461,0.0352,0.49239981174468994,1.7100591715976332e-05,,,,,,,,,,,,,,,,,
70,0.496,0.0354,0.4839717149734497,1.6804733727810653e-05,,,,,,,,,,,,,,,,,
75,0.532,0.0343,0.45206212997436523,1.650887573964497e-05,,,,,,,,,,,,,,,,,
80,0.567,0.0334,0.4294474720954895,1.621301775147929e-05,,,,,,,,,,,,,,,,,
85,0.603,0.0323,0.32016363739967346,1.591715976331361e-05,,,,,,,,,,,,,,,,,
90,0.638,0.0321,0.3646838068962097,1.562130177514793e-05,,,,,,,,,,,,,,,,,
94,0.667,,,,0.4658753708707156,0.5565610859227289,0.5687409550874549,0.6156405989515682,0.5444319459566342,0.8753056234214549,0.7952380951877267,0.6316848107711833,37.1091,18.863,0.162,,,,,,
95,0.674,0.0317,0.2961873710155487,1.532544378698225e-05,,,,,,,,,,,,,,,,,
100,0.709,0.0316,0.31319257616996765,1.5029585798816569e-05,,,,,,,,,,,,,,,,,
105,0.745,0.0305,0.5615285038948059,1.4733727810650888e-05,,,,,,,,,,,,,,,,,
110,0.78,0.0308,0.30908745527267456,1.4437869822485209e-05,,,,,,,,,,,,,,,,,
