epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_politics,eval_mit-restaurant
0.5,0.14409982950578493,0.0,0.0,0.0819180818700021,0.4944812361531376
1.0,0.27583717382016393,0.127572016427213,0.1337078651214421,0.129804662838936,0.7122641508930646
1.5,0.37098695513794155,0.1917098445095412,0.2120559741194845,0.3173913042986497,0.7627906976240909
2.0,0.4269407294927354,0.1944777910667429,0.3807716634551305,0.3586206896066331,0.7738927738424352
2.5,0.43616546692931074,0.2156862744599541,0.3327171903395437,0.3971929824073534,0.7990654205103918
3.0,0.5170248661361454,0.2675159235186074,0.4473342002107669,0.5308194343235182,0.8224299064916893
3.5,0.5399346852779329,0.2803114571257036,0.5236806494766912,0.5255579553144407,0.8301886791948959
4.0,0.53833204016792,0.2866666666177447,0.4496221661979178,0.5860534124134402,0.8309859154425775
4.5,0.5676040590105014,0.2827102803243432,0.5354439091036531,0.6126394051549671,0.8396226414590424
5.0,0.6199700340227499,0.4148816234006988,0.5828178693659878,0.6727688786688042,0.8094117646555085
5.5,0.6272320426347764,0.4295010845500737,0.5809128630206793,0.6636085626413836,0.8349056603269691
6.0,0.6451645289495738,0.4182194616498224,0.6494915253739998,0.6713395638130479,0.8416075649614249
6.5,0.6304326774683244,0.4043715846507268,0.6192754613309382,0.6748278499884999,0.8232558139031325
7.0,0.664192404030745,0.4671361501851655,0.6582456139851338,0.7142857142358475,0.817102137716833
7.5,0.6700987649430409,0.5085518813646251,0.6387362636864409,0.7294117646559501,0.8036951500651474
8.0,0.6862188976748604,0.5199063231354453,0.6804692891150808,0.7193251533244531,0.8251748251244625
8.5,0.6921434662662265,0.5511627906481693,0.6853146852647458,0.696774193498332,0.835322195653659
9.0,0.6949488938713816,0.540478905309886,0.6628895183636002,0.7490039840137288,0.8274231677983112
9.5,0.7080772404914915,0.5769230768732723,0.700280111994869,0.761678543101239,0.7934272299965857
10.0,0.715909155238303,0.5638665131842021,0.6999999999500229,0.763665594805251,0.836104513013736
10.5,0.7086177672115197,0.5595238094740856,0.6980999295770497,0.7399678972212235,0.8368794325737203
11.0,0.718966770013747,0.6135831381237137,0.7110799438490606,0.7483870967241301,0.8028169013580837
11.5,0.7229976409875172,0.6090047392867979,0.7187948349571204,0.7604084838463621,0.803782505859788
12.0,0.7219098343439548,0.6152073732224654,0.7122708038992388,0.7413376308927286,0.8188235293613864
