epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science
0.5,0.10246826337239952,0.0,0.0,0.0029368575606607,0.3192555475529731,0.1901489117483638
1.0,0.24405173078964987,0.1156462584578416,0.362627196991509,0.2132097334401812,0.249388753009788,0.2793867120489295
1.5,0.38515385612917863,0.2677746998619525,0.3939962476062987,0.4739157761924452,0.4386566140707996,0.3514259429143974
2.0,0.39916021649530664,0.2447488584020126,0.328790459919094,0.5971563980545541,0.4770390678062297,0.3480662982946426
2.5,0.42965009707098745,0.3529411764227532,0.4411764705391452,0.2935883014151814,0.4937759335613609,0.5667686034164964
3.0,0.40246847355560345,0.2962962962500062,0.2495921696114567,0.4180377817918625,0.606906686210731,0.4415094339139608
3.5,0.46866211082250925,0.3371868978339585,0.4995044598120184,0.4645569619763171,0.5720524016974621,0.4700098327927903
4.0,0.4378325303694888,0.2971311474932817,0.3872727272247302,0.2939513849160278,0.5939849623564182,0.616822429856986
4.5,0.45638194589262787,0.2679127725377492,0.4014801109600495,0.3211594202421807,0.6375939849128025,0.6537634408103578
5.0,0.5816939077391731,0.4533898304601964,0.5204918032291067,0.6390041493277253,0.6373292867484968,0.6582544689303403
5.5,0.5616923920556351,0.5010799135583335,0.4078578109899071,0.6293995858714716,0.6317365268965466,0.6383881229619167
6.0,0.5441284007207627,0.3663663663190597,0.4485798236531732,0.6584867075166904,0.6158445440461205,0.6313645620687695
6.5,0.5499126271114386,0.3946784921905507,0.4110898661080298,0.6507177032994916,0.6403574087367868,0.6527196652223342
7.0,0.5984989515580974,0.485714285665466,0.5340101522347679,0.6955307262070499,0.6261261260765381,0.651113467606665
7.5,0.5850223536126886,0.5252747252258968,0.5034965034471824,0.6419753085921616,0.5884123400557397,0.6659528907424626
8.0,0.6041788804072008,0.4471101417179247,0.5801838610331724,0.6900343642113339,0.6255639097248344,0.6780021253487387
8.5,0.6227479016251889,0.5684695051289651,0.5443425075957217,0.698191933190702,0.6367781154518249,0.6659574467587311
9.0,0.6232654742044759,0.5114822546492296,0.5821782177725471,0.6857541898942022,0.6381679388815656,0.6987447698248349
9.5,0.6409336320992918,0.5916473317370519,0.573999999950654,0.6880546074587466,0.6621004565712935,0.6888657647787128
10.0,0.6380469819529294,0.5612472159866231,0.5931034482266828,0.6844626967332201,0.6579754600729287,0.6934460887451925
10.5,0.6407236989577804,0.5315315314823867,0.6014271151390332,0.7001375515320026,0.6737481031369587,0.6967741934985205
11.0,0.6351069890942546,0.5756207674451748,0.5620155038270025,0.6945024355798709,0.6429652041863486,0.7004310344328761
11.5,0.6468432818465509,0.5948372614548105,0.5819999999506523,0.7038327525633178,0.6519421172389361,0.7016042780250379
12.0,0.6471607396128766,0.6008869179111258,0.5967741934989506,0.6913580246415375,0.6457536342272191,0.7010309277855499
