epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science
0.5,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0006611570244004,0.0,0.0,0.0,0.003305785122002,0.0
3.5,0.00126782884118012,0.0,0.0,0.0,0.0063391442059006,0.0
4.0,0.0118870728044028,0.0,0.0,0.0,0.059435364022014,0.0
4.5,0.0243727598484852,0.0,0.0,0.0,0.121863799242426,0.0
5.0,0.03472764939444686,0.0,0.0,0.0,0.1413150146718291,0.0323232323004052
5.5,0.06262269372452818,0.0,0.0,0.0,0.1603603603106457,0.1527531083119952
6.0,0.10225146676253724,0.0,0.0,0.0,0.220136518721318,0.2911208150913683
6.5,0.12597001303580763,0.0,0.0,0.0,0.2845461978240544,0.3453038673549838
7.0,0.1297441321041033,0.0,0.0,0.0,0.3126550867985876,0.3360655737219288
7.5,0.14978000544540518,0.0,0.0042016806575753,0.0083682008257885,0.3374083129084081,0.398921832835254
8.0,0.17485469495483102,0.0,0.0432220039052497,0.0455696202282772,0.3629096722122219,0.4225721784284063
8.5,0.20375044844701576,0.0239808153323326,0.0804195803836752,0.1385281384887363,0.3566775243799391,0.4191461836503956
9.0,0.23254401337577554,0.0277777777572959,0.1312499999567578,0.1892430278443467,0.3666121112429216,0.4478371500775557
9.5,0.2600367193523618,0.0588235293882742,0.1547445255012874,0.2157598498596998,0.3853211008673669,0.4855345911451806
10.0,0.27683149267993035,0.0748898678146888,0.1975308641495097,0.2462620931795038,0.3966101694414698,0.4688644688144797
10.5,0.3051750997884014,0.1065088757024505,0.2433155079727894,0.2770562770076542,0.4222222221721786,0.4767726160869346
11.0,0.329459276983563,0.1211009173892217,0.3053040103000972,0.2943650125665106,0.4542372880855278,0.4722891565764576
11.5,0.34229766427837954,0.1214165260923966,0.3072983354180107,0.3242798353415104,0.487479131836396,0.4710144927035841
12.0,0.34811680075577967,0.1193548386623361,0.2936708860264675,0.339344262245594,0.5075376883921265,0.480676328452374
