epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_science
0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.5,0.0029828486179921663,0.0,0.0,0.0089485458539765
2.0,0.039695106787773236,0.0,0.002840909083009,0.1162444112803107
2.5,0.08585115724858906,0.0,0.0840840840402396,0.1734693877055276
3.0,0.14860983769997263,0.0103359173101055,0.1669565216906137,0.2685370740991987
3.5,0.18487246388152764,0.0201005025048357,0.2545168891881634,0.2799999999515838
4.0,0.24281829122156454,0.0247524752372144,0.3155006858212872,0.3882017126061921
4.5,0.26757138804313657,0.029556650235167,0.2670846394495788,0.5060728744446639
5.0,0.2844815008604053,0.0735009670793725,0.3681788296678748,0.4117647058339687
5.5,0.3219579494794905,0.0967741935051669,0.3776595744185591,0.4914400805147456
6.0,0.355600537490629,0.1151315789006221,0.4336700336203884,0.5179999999508763
6.5,0.3803043642410948,0.1579689703310743,0.4477040815835624,0.5352400408086477
7.0,0.39289810135265224,0.1863905324951708,0.4499999999505661,0.54230377161222
7.5,0.4203573853740758,0.2583732056919358,0.4423717521156702,0.5603271983146214
8.0,0.4245227174609729,0.2271604937772656,0.4892648015121598,0.5571428570934932
8.5,0.4312729292938317,0.2428940567974908,0.5186666666170975,0.5322580644669069
9.0,0.42896676668220346,0.2506142505643777,0.453298497664552,0.5829875518176808
9.5,0.4658527824856807,0.2565320664586817,0.5363276089333429,0.6046986720650176
10.0,0.4760879939603066,0.2535832414065342,0.5581708136692464,0.6165099268051392
10.5,0.4722065532228464,0.2435500515517748,0.5454545454048852,0.6276150627118792
11.0,0.5092864564167279,0.3186046511133396,0.5811732605232214,0.6280814576136228
11.5,0.5171585107864809,0.3470873785909575,0.5671641790547544,0.6372239747137308
12.0,0.5276905993961336,0.3402854006098441,0.5979661016451931,0.6448202959333635
