epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_science,eval_mit-restaurant
0.5,0.18309228451461476,0.005128205124184,0.0086580086529462,0.0134831460608953,0.7050997782204336
1.0,0.2503164325513228,0.0,0.0144508670472263,0.190476190439475,0.7963386727185899
1.5,0.32300614170408215,0.0,0.022503516164782,0.4833141541501243,0.7862068965014222
2.0,0.4662885407647904,0.1973929236087679,0.2629558540809975,0.6002076842702813,0.8045977010991149
2.5,0.5518634502305991,0.3305084745264906,0.4421669106380826,0.635691657817236,0.7990867579405873
3.0,0.6079401770182852,0.4723618089951882,0.5045422780772735,0.6484784889325016,0.8063781320681774
3.5,0.6147442782924943,0.4019728729463697,0.5855031667339973,0.6595744680353283,0.811926605454282
4.0,0.6361753035351954,0.5327102803242848,0.5898491083178202,0.6339869280546366,0.7881548974440398
4.5,0.6413413703572193,0.5101311084127332,0.5747599450805111,0.675876726836518,0.8045977010991149
5.0,0.6633205977392664,0.5539906102790418,0.6099585061742023,0.6902465165632343,0.7990867579405873
5.5,0.6847448657646058,0.6037296036800632,0.6298342540937885,0.6943556975007917,0.8110599077837797
6.0,0.6779585205828778,0.5628019323173125,0.640830449777117,0.6972677595128699,0.8109339407242118
6.5,0.6880266826821249,0.6181818181319417,0.635294117597187,0.7160220993974792,0.7826086956018915
7.0,0.6991862625354668,0.6083832334831498,0.6754690756971439,0.7128927410118336,0.7999999999497398
7.5,0.7036063337253613,0.6030989272446539,0.6919831223129002,0.7247608926175915,0.7945823927262998
8.0,0.7028916952835934,0.6200241254025101,0.6610761704602005,0.7231270357806813,0.8073394494909815
8.5,0.710539840819183,0.6327272726773927,0.6829608938048172,0.7338444687342356,0.7926267280602859
9.0,0.7155932009649932,0.657568238163372,0.6952850105059735,0.7195652173413606,0.7899543378492672
9.5,0.7172785157028969,0.6492271105329045,0.6992323795732382,0.7270765911043653,0.7935779816010794
10.0,0.7165792465495241,0.6362545017509106,0.7014084506542481,0.7450549450049323,0.7835990887880055
10.5,0.7121543893831833,0.646007151320925,0.6803977272227153,0.7431693988571221,0.7790432801319712
11.0,0.7150602095573535,0.6431181485493536,0.6959603117855723,0.7456521738630941,0.7755102040313944
11.5,0.7222782413510406,0.6509900989598881,0.7139815471465795,0.7450980391657235,0.7790432801319712
12.0,0.715590307475116,0.6327272726773927,0.6877637130302002,0.7555066078794888,0.7863636363133824
