epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_science
0.5,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
2.0,0.04387568554636123,0.0,0.0,0.1316270566390837
2.5,0.132224861424323,0.0,0.0,0.396674584272969
3.0,0.15619453317475632,0.0,0.0,0.468583599524269
3.5,0.22116656602115117,0.0,0.1284403669374718,0.5350593311259818
4.0,0.3046732866093225,0.0504587155746044,0.3169642856642395,0.5465968585891238
4.5,0.36438480982980903,0.1444444444029945,0.4024640656586523,0.5462459194277803
5.0,0.3886042949897745,0.1876675602716946,0.412342215938864,0.5658031087587648
5.5,0.4247531280826056,0.262420382115574,0.4328358208458174,0.5790031812864257
6.0,0.4309294551885731,0.2614840988903689,0.4488977955416044,0.582406471133746
6.5,0.45550194608779165,0.3010033444326375,0.4688995214813346,0.5966029723494028
7.0,0.4723859576881943,0.3245109320565241,0.4903139612062616,0.6023329798017972
7.5,0.4852905930257643,0.3455497381718229,0.5003326679477902,0.6099893729576799
8.0,0.4970657463029642,0.3827859569157138,0.5090421968693455,0.5993690851238332
8.5,0.5019092616938315,0.3590361445285429,0.5306666666170959,0.6160249739358559
9.0,0.520714908553778,0.4026696328765106,0.5450819671633435,0.61439312562148
9.5,0.5289715474007456,0.3986636970557015,0.5540540540043649,0.6341968911421703
10.0,0.5433930544681348,0.4045454544962314,0.5803389830011277,0.6452947259070454
10.5,0.5469786757731604,0.4256243213411542,0.5745554035069863,0.6407563024713407
11.0,0.5459681149581193,0.4240437157982635,0.5682910088726351,0.6455696202034592
11.5,0.5554624846324082,0.4358974358479345,0.582068965467399,0.6484210525818912
12.0,0.5620600319806672,0.4347826086466544,0.5975103733941209,0.6538871139012264
