epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-movie,eval_mit-restaurant
0.5,0.5664872356522855,0.4486187844815013,0.442344045320016,0.4910591471303808,0.4470918009323041,0.5977777777277435,0.8065843620896401,0.7319347318844127
1.0,0.5823884162786638,0.4556962024815844,0.3717391303848161,0.5822102425379303,0.50465949815881,0.5692803436666024,0.8494845360321719,0.7436489606887317
1.5,0.6361305445953622,0.5644171778641677,0.5040485829464919,0.6195804195304893,0.5376506023600367,0.5664739883891772,0.8737060040904612,0.7870370369867113
2.0,0.636783789871156,0.5552884614886621,0.5499505439666086,0.5753968253473232,0.5938931297212672,0.5339074272913881,0.8907563024706421,0.758293838812201
2.5,0.6302576373662376,0.5608342989076543,0.5504950494557216,0.624556422945031,0.4329896906722797,0.6139240505832128,0.8837209301821864,0.7452830188175774
3.0,0.6675410323731809,0.5768261964234778,0.5606694560171783,0.6057692307194125,0.6331500392273718,0.634678298750491,0.8794926003724631,0.782201405101872
3.5,0.6576741859450302,0.5813953487876972,0.5441176470090278,0.6393328699987474,0.563876651933021,0.6321467097667375,0.8893617020772812,0.7534883720426998
4.0,0.6594391236719055,0.5637254901461434,0.5273109243199557,0.6046511627409084,0.590490797496252,0.6528258361666924,0.9021276595240842,0.7749419953093017
4.5,0.6727706675732543,0.5840286054329779,0.5838150288528395,0.6366782006421695,0.6189759035648437,0.6205405404906533,0.9014675051907228,0.7638888888385739
5.0,0.6607691586701684,0.5748218526818839,0.5430327868356595,0.6235045741935276,0.5285285284789552,0.6783369802563719,0.8949579831429092,0.782201405101872
5.5,0.6755300287643864,0.5761124121284062,0.5725725725232159,0.6503838101384929,0.6108597284571611,0.6616702354962107,0.8907563024706421,0.7663551401365754
6.0,0.6680392330949916,0.5945945945454357,0.5243523315565342,0.6467315715773573,0.6190114067944081,0.6409431939480251,0.8983050846953831,0.7523364485477968
6.5,0.6879266733574234,0.6082949308261537,0.5622489959345486,0.6505190310919945,0.6208459214005101,0.6834061134871555,0.9075630251597108,0.7826086956018915
7.0,0.6745346039684119,0.5634824666974332,0.6094069529156544,0.6269070734591318,0.5426470587741589,0.6886993602913503,0.9110169491021574,0.779582366538998
7.5,0.6763959886322556,0.6076833526862093,0.5705521471896909,0.6606523247245698,0.5151739451763236,0.7058823528911233,0.9006342494210801,0.7741935483367921
8.0,0.6817540124640941,0.5741626793760708,0.5815160954850744,0.6744505494007218,0.6048632218348085,0.6525871171625335,0.8959660296736114,0.7887323943158369
8.5,0.6823290996359674,0.578645235312275,0.5541922289892853,0.668500687708073,0.6059678652907293,0.6759656651862048,0.9152542372377488,0.7777777777274563
9.0,0.6943754506355957,0.5813953487876972,0.6243496357463071,0.6615811372594044,0.6224961478700776,0.6978260869065828,0.9090909090405268,0.7638888888385739
9.5,0.6990426153919568,0.5797438881926185,0.6195426194928904,0.6778009742020027,0.6206896551226548,0.6943231440548389,0.9133192388502502,0.7878787878284425
10.0,0.6877964206637281,0.5955967554545756,0.5964912280205129,0.6630360789155203,0.5658389766245918,0.70098576117674,0.9110169491021574,0.781609195351999
10.5,0.6941598927191223,0.5780346820314729,0.5855670102596272,0.6648313832949635,0.6218487394460628,0.7047200877655894,0.9152542372377488,0.7888631089983905
11.0,0.6991058723956165,0.5921658985680928,0.6006191949967762,0.6726519336517935,0.6401249023700943,0.6934782608196272,0.9048625792308034,0.7898383371321283
11.5,0.6999911049685841,0.5836216839182758,0.6058091285809963,0.6726149622013784,0.6310077518881408,0.7038251365620486,0.9113924050129102,0.7916666666163388
12.0,0.69672219542117,0.5802752293084321,0.596053997873441,0.6776859503633765,0.6092307691809833,0.704595185945644,0.9175475686599734,0.7916666666163388
