epoch,eval_average,eval_crossner_ai,eval_crossner_literature,eval_mit-movie,eval_mit-restaurant
0.5,0.5047224251569559,0.2102102101612297,0.3112128145952379,0.8322981365956544,0.6651685392757015
1.0,0.5985446782520654,0.4705882352449325,0.3543743078126461,0.8601252609099925,0.7090909090406902
1.5,0.645165247293114,0.497409326374747,0.4615384614887652,0.8613445377647722,0.7603686635441718
2.0,0.6719148362769747,0.540112994301095,0.5368731562930384,0.8757894736338474,0.7348837208799178
2.5,0.6430988795003523,0.4482758620204305,0.4965243296429023,0.8870292886525718,0.7405660376855043
3.0,0.6828087905855595,0.4805339265361152,0.5919835559627081,0.8763102724863311,0.7824074073570837
3.5,0.6639982769615251,0.4884004883505946,0.5458333332836025,0.883227176170432,0.7385321100414717
4.0,0.680284119378614,0.5219399537611966,0.5390070921491047,0.9025423728309744,0.7576470587731798
4.5,0.7016034194097236,0.5727590220692209,0.5924412665490023,0.89121338907098,0.7499999999496914
5.0,0.7021741143218638,0.5690672962903693,0.5851172272695156,0.9191489361198216,0.7353629976077486
5.5,0.686612601705509,0.5652694610280705,0.5667351128867348,0.877118644017426,0.7373271888898045
6.0,0.6997264860655377,0.55803048060692,0.5632065775454479,0.8879492599919099,0.7897196261178727
6.5,0.7064151004750694,0.5838218053431389,0.584963954636249,0.89121338907098,0.7656612528499095
7.0,0.7136621325173144,0.5978391356044612,0.5515832481629024,0.9033613444874437,0.8018648018144501
7.5,0.7136530815729378,0.6143024618495797,0.5597548518401224,0.8991596638151763,0.781395348786873
8.0,0.714484412066191,0.617401668603411,0.5743174923671189,0.8991596638151763,0.7670588234790577
8.5,0.708643205826305,0.6059171597136297,0.5549738219397548,0.9087048831767908,0.7649769584750451
9.0,0.7168212902729638,0.607142857093122,0.5821501013703825,0.9094736841601492,0.7685185184682013
9.5,0.7113358272501802,0.5794392522868907,0.5843373493481988,0.9094736841601492,0.7720930232054819
10.0,0.7144631155186298,0.6075650117706571,0.5722952476755117,0.9094736841601492,0.7685185184682013
10.5,0.7139119322324176,0.5845070422039172,0.5815602836384578,0.9071729957302116,0.7824074073570837
11.0,0.7163061205013351,0.5882352940680204,0.5944841674683075,0.9075630251597108,0.7749419953093017
11.5,0.7144189390650061,0.5835294117150804,0.5885947046347804,0.915966386504245,0.7695852534059185
12.0,0.7132882694125812,0.5855962219102002,0.5862068965022277,0.911764705831978,0.7695852534059185
