step,epoch,loss,grad_norm,learning_rate,eval_mit-movie,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second
350,0.45,0.5126,2.1953611120101333,1.978503952611951e-05,,,,,
352,0.453,0.5098,1.583880058381264,1.9804284466271735e-05,,,,,
354,0.456,0.5304,1.2441065896283368,1.9823420369350826e-05,,,,,
356,0.458,0.5164,1.6733386511348638,1.984244846395333e-05,,,,,
358,0.461,0.4727,1.4726602409269434,1.986136995802689e-05,,,,,
360,0.463,0.4995,1.885907314449837,1.9880186039330394e-05,,,,,
362,0.466,0.513,1.6589669106645546,1.9898897875881394e-05,,,,,
364,0.468,0.4897,1.601538002578562,1.991750661639116e-05,,,,,
366,0.471,0.485,1.397549843686682,1.9936013390687854e-05,,,,,
368,0.474,0.5124,1.9440469632983173,1.9954419310128142e-05,,,,,
370,0.476,0.4659,1.4068751535663082,1.9972725467997668e-05,,,,,
372,0.479,0.4776,1.650634395625512,1.999093293990074e-05,,,,,
374,0.481,0.499,1.2601818990107312,2e-05,,,,,
376,0.484,0.4189,1.8035682860638487,2e-05,,,,,
378,0.486,0.4716,1.38488086172493,2e-05,,,,,
380,0.489,0.4046,1.6417658131617325,2e-05,,,,,
382,0.492,0.5273,1.9711361575666437,2e-05,,,,,
384,0.494,0.414,1.7141044635242952,2e-05,,,,,
386,0.497,0.4705,1.4934040644778614,2e-05,,,,,
388,0.499,0.4732,1.6991648269735649,2e-05,,,,,
388,0.499,,,,0.2157996145939078,0.2157996145939078,6.9077,153.452,1.592
390,0.502,0.5158,1.6187674010366015,2e-05,,,,,
392,0.505,0.5301,2.352535511944935,2e-05,,,,,
394,0.507,0.53,1.8895404309547335,2e-05,,,,,
396,0.51,0.3966,1.2504743729586982,2e-05,,,,,
398,0.512,0.43,1.854803166398571,2e-05,,,,,
400,0.515,0.4161,1.3184676380805418,2e-05,,,,,
402,0.517,0.4391,1.8465126982390285,2e-05,,,,,
404,0.52,0.4344,1.631229028151724,2e-05,,,,,
406,0.523,0.4896,1.724763835226872,2e-05,,,,,
408,0.525,0.4169,1.6387299228303593,2e-05,,,,,
410,0.528,0.4635,1.305193899070234,2e-05,,,,,
412,0.53,0.4552,1.4538272135161,2e-05,,,,,
414,0.533,0.4116,1.4644129032789834,2e-05,,,,,
416,0.535,0.4484,2.56183705876036,2e-05,,,,,
418,0.538,0.4487,1.3043381469654696,2e-05,,,,,
420,0.541,0.4647,1.434086634318834,2e-05,,,,,
