[mem],epoch,joint_loss,step,train_loss
1.509765625,0.04,3.46484375,1,3.46484375
1.51171875,0.08,4.828125,2,4.828125
1.515625,0.12,2.9765625,3,2.9765625
1.54296875,0.16,2.95703125,4,2.95703125
1.54296875,0.2,3.06640625,5,3.06640625
1.587890625,0.24,2.654296875,6,2.654296875
1.587890625,0.28,3.19921875,7,3.19921875
1.587890625,0.32,3.45703125,8,3.45703125
1.587890625,0.36,2.8203125,9,2.8203125
1.587890625,0.4,2.56640625,10,2.56640625
1.587890625,0.44,2.7734375,11,2.7734375
1.587890625,0.48,2.501953125,12,2.501953125
1.587890625,0.52,3.0859375,13,3.0859375
1.587890625,0.56,2.7890625,14,2.7890625
1.587890625,0.6,2.4296875,15,2.4296875
1.587890625,0.64,2.671875,16,2.671875
1.587890625,0.68,2.45703125,17,2.45703125
1.587890625,0.72,2.408203125,18,2.408203125
1.587890625,0.76,2.119140625,19,2.119140625
1.587890625,0.8,2.51171875,20,2.51171875
1.587890625,0.84,2.3828125,21,2.3828125
1.587890625,0.88,2.220703125,22,2.220703125
1.587890625,0.92,2.3515625,23,2.3515625
1.587890625,0.96,2.0703125,24,2.0703125
1.587890625,1.0,2.26171875,25,2.26171875
