step,epoch,eval_crossner_politics,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,8.6019,11.625,0.116,,,,,,,,,
5,0.714,,,,,,0.6675,26.176795959472656,2e-05,,,,,,
7,1.0,0.0,0.0,8.4986,11.767,0.118,,,,,,,,,
10,1.429,,,,,,0.1969,4.990240573883057,1.8750000000000002e-05,,,,,,
10,1.429,0.20172201718133526,0.20172201718133526,8.4848,11.786,0.118,,,,,,,,,
14,2.0,0.5769230768730647,0.5769230768730647,8.4894,11.779,0.118,,,,,,,,,
15,2.143,,,,,,0.0478,1.7201600074768066,1.7500000000000002e-05,,,,,,
18,2.571,0.781276595694567,0.781276595694567,8.4877,11.782,0.118,,,,,,,,,
20,2.857,,,,,,0.0237,1.3858554363250732,1.6250000000000002e-05,,,,,,
21,3.0,0.7403035412652259,0.7403035412652259,8.4831,11.788,0.118,,,,,,,,,
24,3.429,0.7597027249705244,0.7597027249705244,8.4788,11.794,0.118,,,,,,,,,
25,3.571,,,,,,0.0097,0.8649851679801941,1.5000000000000002e-05,,,,,,
28,4.0,0.7729549248246622,0.7729549248246622,8.4848,11.786,0.118,,,,,,,,,
30,4.286,,,,,,0.0046,0.34570398926734924,1.375e-05,,,,,,
32,4.571,0.8020050124811943,0.8020050124811943,8.4798,11.793,0.118,,,,,,,,,
35,5.0,,,,,,0.0036,0.48865240812301636,1.25e-05,,,,,,
35,5.0,0.7371090447512358,0.7371090447512358,8.4819,11.79,0.118,,,,,,,,,
38,5.429,0.7525083611538876,0.7525083611538876,7.5846,13.185,0.132,,,,,,,,,
40,5.714,,,,,,0.0016,0.34512951970100403,1.125e-05,,,,,,
42,6.0,0.7680921052130425,0.7680921052130425,7.4344,13.451,0.135,,,,,,,,,
45,6.429,,,,,,0.0008,0.5073493719100952,1e-05,,,,,,
46,6.571,0.7672131147039888,0.7672131147039888,7.4464,13.429,0.134,,,,,,,,,
49,7.0,0.7421487602804606,0.7421487602804606,7.4463,13.429,0.134,,,,,,,,,
50,7.143,,,,,,0.0006,0.0246854517608881,8.750000000000001e-06,,,,,,
52,7.429,0.7441860464615054,0.7441860464615054,7.4389,13.443,0.134,,,,,,,,,
55,7.857,,,,,,0.0005,0.528374195098877,7.500000000000001e-06,,,,,,
56,8.0,0.7784232364643953,0.7784232364643953,7.4418,13.438,0.134,,,,,,,,,
60,8.571,,,,,,0.0002,0.1679118275642395,6.25e-06,,,,,,
60,8.571,0.7703826954573598,0.7703826954573598,7.4403,13.44,0.134,,,,,,,,,
63,9.0,0.773819386859568,0.773819386859568,7.4496,13.424,0.134,,,,,,,,,
65,9.286,,,,,,0.0001,0.010130361653864384,5e-06,,,,,,
66,9.429,0.7766666666165374,0.7766666666165374,7.4431,13.435,0.134,,,,,,,,,
70,10.0,,,,,,0.0001,0.003942690324038267,3.7500000000000005e-06,,,,,,
70,10.0,0.7960033305077362,0.7960033305077362,7.44,13.441,0.134,,,,,,,,,
74,10.571,0.7986688851412153,0.7986688851412153,7.4472,13.428,0.134,,,,,,,,,
75,10.714,,,,,,0.0,0.0037772085051983595,2.5e-06,,,,,,
77,11.0,0.7976686094419574,0.7976686094419574,7.704,12.98,0.13,,,,,,,,,
80,11.429,,,,,,0.0001,0.00923837535083294,1.25e-06,,,,,,
80,11.429,0.8066390040992454,0.8066390040992454,7.4389,13.443,0.134,,,,,,,,,
84,12.0,0.7900414937258041,0.7900414937258041,7.4817,13.366,0.134,,,,,,,,,
84,12.0,,,,,,,,,238.3346,10.07,0.352,7381975006445568.0,7.381975006445568,0.05701508791216405
