step,epoch,eval_crossner_literature,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,10.2298,9.775,0.098,,,,,,,,,
4,1.0,0.0,0.0,8.576,11.66,0.117,,,,,,,,,
5,1.25,,,,,,0.8658,74.49201965332031,1.9130434782608697e-05,,,,,,
6,1.5,0.03355215167059029,0.03355215167059029,8.5815,11.653,0.117,,,,,,,,,
8,2.0,0.1357798164821547,0.1357798164821547,8.5642,11.677,0.117,,,,,,,,,
10,2.5,,,,,,0.2659,7.484953880310059,1.6956521739130437e-05,,,,,,
10,2.5,0.23507805321174108,0.23507805321174108,8.5688,11.67,0.117,,,,,,,,,
12,3.0,0.519067796560319,0.519067796560319,5.8751,17.021,0.17,,,,,,,,,
14,3.5,0.6116504853869439,0.6116504853869439,8.4927,11.775,0.118,,,,,,,,,
15,3.75,,,,,,0.0691,1.9318161010742188,1.4782608695652174e-05,,,,,,
16,4.0,0.6794150730657184,0.6794150730657184,4.9775,20.09,0.201,,,,,,,,,
18,4.5,0.6879432623612477,0.6879432623612477,4.8028,20.821,0.208,,,,,,,,,
20,5.0,,,,,,0.0143,0.7046871185302734,1.2608695652173915e-05,,,,,,
20,5.0,0.7162471395379371,0.7162471395379371,5.0945,19.629,0.196,,,,,,,,,
22,5.5,0.7212336891551249,0.7212336891551249,5.093,19.635,0.196,,,,,,,,,
24,6.0,0.6729411764204766,0.6729411764204766,5.1139,19.554,0.196,,,,,,,,,
25,6.25,,,,,,0.005,1.408716082572937,1.0434782608695653e-05,,,,,,
26,6.5,0.7359999999498319,0.7359999999498319,5.1599,19.38,0.194,,,,,,,,,
28,7.0,0.7149321266466748,0.7149321266466748,5.0537,19.787,0.198,,,,,,,,,
30,7.5,,,,,,0.0017,0.35377171635627747,8.260869565217392e-06,,,,,,
30,7.5,0.7191011235453564,0.7191011235453564,5.1611,19.376,0.194,,,,,,,,,
32,8.0,0.7181208053189871,0.7181208053189871,4.9847,20.062,0.201,,,,,,,,,
34,8.5,0.7319243603503148,0.7319243603503148,5.0552,19.782,0.198,,,,,,,,,
35,8.75,,,,,,0.0011,0.45287150144577026,6.086956521739132e-06,,,,,,
36,9.0,0.720538720488573,0.720538720488573,4.9958,20.017,0.2,,,,,,,,,
38,9.5,0.7166853302970021,0.7166853302970021,5.1013,19.603,0.196,,,,,,,,,
40,10.0,,,,,,0.0005,0.22135066986083984,3.91304347826087e-06,,,,,,
40,10.0,0.7064116984875346,0.7064116984875346,5.0775,19.695,0.197,,,,,,,,,
42,10.5,0.7240223463185756,0.7240223463185756,5.0766,19.698,0.197,,,,,,,,,
44,11.0,0.7149321266466748,0.7149321266466748,5.0116,19.954,0.2,,,,,,,,,
45,11.25,,,,,,0.0002,0.042893022298812866,1.7391304347826088e-06,,,,,,
46,11.5,0.7191011235453564,0.7191011235453564,5.1618,19.373,0.194,,,,,,,,,
48,12.0,0.7223476297466831,0.7223476297466831,5.0728,19.713,0.197,,,,,,,,,
48,12.0,,,,,,,,,171.2813,7.006,0.28,4025555137593344.0,4.025555137593344,0.1274667620770439
