epoch,eval_average,eval_crossner_ai,eval_crossner_music,eval_crossner_politics,eval_crossner_science,eval_mit-restaurant
0.5,0.3110164423986466,0.1730449250784123,0.1841359772871807,0.3413959916584133,0.2573673869845527,0.599137930984674
1.0,0.3943409671983398,0.1776937617685721,0.2054711245716437,0.2656675748835353,0.5607476635018575,0.7621247112660903
1.5,0.5175997327825811,0.309002433040198,0.3691733995783472,0.5832083957525311,0.5506329113427196,0.7759815241991094
2.0,0.6042263868044401,0.3329633739799389,0.5859697386021696,0.6191570880728465,0.6802575106797661,0.8027842226874792
2.5,0.6121963980602649,0.3478260869082495,0.5544422177192793,0.6604795049772365,0.6680455015016633,0.8301886791948959
3.0,0.6696670544483883,0.4719626167728972,0.6552667578161409,0.699922057627429,0.697928026122342,0.8232558139031325
3.5,0.6842253521309829,0.5425287355828015,0.6717241378811797,0.7035330260638821,0.6883525707792929,0.8149882903477581
4.0,0.6901289803876292,0.5057471263874076,0.6878015161458746,0.7219209914296207,0.7091891891392827,0.8259860788359602
4.5,0.689139231310298,0.5460829492593477,0.6615705350439144,0.6983883345626503,0.7106145250895824,0.8290398125959951
5.0,0.6987414469968909,0.6263345195232443,0.6699300698801328,0.6563227307492163,0.7159450897073985,0.8251748251244625
5.5,0.7203601121544325,0.6467780429096627,0.6704225351612947,0.7168347555746529,0.7414741473647237,0.8262910797618286
6.0,0.718317803186102,0.6323185011213673,0.7109266942793059,0.7215686274010495,0.7088082901058854,0.8179669030229018
6.5,0.7144923018160025,0.6155747836335624,0.7072829131153163,0.6851424171942305,0.7334754796943258,0.8309859154425775
7.0,0.7168290125781593,0.6503667481163181,0.7087172217784835,0.6656370655872433,0.7272727272227365,0.8321513001860158
7.5,0.7114800549514262,0.6780072903510643,0.7040110649570386,0.6241457858273064,0.7475409835565747,0.8036951500651474
8.0,0.7263020048326313,0.6518518518018522,0.7060458651342487,0.698535080906236,0.737430167547677,0.8376470587731422
8.5,0.7290082536449758,0.6658354114212679,0.7049754729703691,0.7002323779517001,0.7457627118142782,0.8282352940672643
9.0,0.7123578666152159,0.6578631452082885,0.649824561353556,0.707259953111692,0.726086956471794,0.8207547169307493
9.5,0.7165028217446838,0.6476426798507194,0.6912378302699798,0.7080745341116248,0.7290322580146427,0.8065268064764526
10.0,0.7255347090212847,0.6888068880188929,0.6879334257476115,0.7135050741109102,0.7336898395223573,0.8037383177066514
10.5,0.7246615760351874,0.6650602409140114,0.690240452566695,0.7078124999500945,0.7385984426640566,0.8215962440810798
11.0,0.7191829496789655,0.6617100371246991,0.6938202246691387,0.7128404668761882,0.7228381374222319,0.8047058823025696
11.5,0.7258914897490463,0.6706730768732497,0.7152974503749242,0.6909937887700126,0.7439824944795522,0.8085106382474926
12.0,0.714978996048964,0.6859903381143844,0.7145847871098725,0.6342943853827916,0.7241746538373136,0.8158508158004577
