step,epoch,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,16.1447,6.194,0.062,,,,,,,,,
4,1.0,0.0,0.0,11.416,8.76,0.088,,,,,,,,,
5,1.25,,,,,,1.1458,30.295557022094727,1.9130434782608697e-05,,,,,,
6,1.5,0.0,0.0,10.5323,9.495,0.095,,,,,,,,,
8,2.0,0.0,0.0,10.5334,9.494,0.095,,,,,,,,,
10,2.5,,,,,,0.4372,2.6171469688415527,1.6956521739130437e-05,,,,,,
10,2.5,0.031164069615347643,0.031164069615347643,10.5452,9.483,0.095,,,,,,,,,
12,3.0,0.17341040458535276,0.17341040458535276,10.3071,9.702,0.097,,,,,,,,,
14,3.5,0.3463414633647829,0.3463414633647829,10.5319,9.495,0.095,,,,,,,,,
15,3.75,,,,,,0.0914,1.378116250038147,1.4782608695652174e-05,,,,,,
16,4.0,0.31663974147121965,0.31663974147121965,10.5232,9.503,0.095,,,,,,,,,
18,4.5,0.49557522118887104,0.49557522118887104,10.5328,9.494,0.095,,,,,,,,,
20,5.0,,,,,,0.0234,0.4456362724304199,1.2608695652173915e-05,,,,,,
20,5.0,0.4301994301496977,0.4301994301496977,10.5441,9.484,0.095,,,,,,,,,
22,5.5,0.535141800196645,0.535141800196645,10.5321,9.495,0.095,,,,,,,,,
24,6.0,0.5244215937802156,0.5244215937802156,10.4792,9.543,0.095,,,,,,,,,
25,6.25,,,,,,0.0088,0.24295510351657867,1.0434782608695653e-05,,,,,,
26,6.5,0.5442359248828591,0.5442359248828591,10.5195,9.506,0.095,,,,,,,,,
28,7.0,0.5610738254532376,0.5610738254532376,10.4801,9.542,0.095,,,,,,,,,
30,7.5,,,,,,0.0014,0.05781397223472595,8.260869565217392e-06,,,,,,
30,7.5,0.5627476881929202,0.5627476881929202,10.5209,9.505,0.095,,,,,,,,,
32,8.0,0.5540897097123898,0.5540897097123898,10.5215,9.504,0.095,,,,,,,,,
34,8.5,0.549738219845144,0.549738219845144,10.476,9.546,0.095,,,,,,,,,
35,8.75,,,,,,0.0007,0.03831421956419945,6.086956521739132e-06,,,,,,
36,9.0,0.5523560208922638,0.5523560208922638,10.477,9.545,0.095,,,,,,,,,
38,9.5,0.5580182528833625,0.5580182528833625,10.4786,9.543,0.095,,,,,,,,,
40,10.0,,,,,,0.0002,0.0110993143171072,3.91304347826087e-06,,,,,,
40,10.0,0.5557011795042449,0.5557011795042449,10.479,9.543,0.095,,,,,,,,,
42,10.5,0.5624178711719292,0.5624178711719292,10.477,9.545,0.095,,,,,,,,,
44,11.0,0.5643044618921095,0.5643044618921095,10.4781,9.544,0.095,,,,,,,,,
45,11.25,,,,,,0.0002,0.007142120972275734,1.7391304347826088e-06,,,,,,
46,11.5,0.560943643462304,0.560943643462304,10.4793,9.543,0.095,,,,,,,,,
48,12.0,0.5571616293848083,0.5571616293848083,10.4749,9.547,0.095,,,,,,,,,
48,12.0,,,,,,,,,292.5118,4.102,0.164,6914153243475968.0,6.914153243475968,0.17804813206506273
