step,epoch,eval_crossner_ai,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
2,0.5,0.0,0.0,10.516,9.509,0.095,,,,,,,,,
4,1.0,0.0030674846140511507,0.0030674846140511507,8.6213,11.599,0.116,,,,,,,,,
5,1.25,,,,,,0.9039,126.37626647949219,1.9130434782608697e-05,,,,,,
6,1.5,0.004385964885089642,0.004385964885089642,8.6182,11.603,0.116,,,,,,,,,
8,2.0,0.0,0.0,8.6229,11.597,0.116,,,,,,,,,
10,2.5,,,,,,0.3577,32.124420166015625,1.6956521739130437e-05,,,,,,
10,2.5,0.07569141188655949,0.07569141188655949,8.6117,11.612,0.116,,,,,,,,,
12,3.0,0.26322263217643915,0.26322263217643915,8.7216,11.466,0.115,,,,,,,,,
14,3.5,0.38839848670911137,0.38839848670911137,8.5595,11.683,0.117,,,,,,,,,
15,3.75,,,,,,0.1063,2.8619353771209717,1.4782608695652174e-05,,,,,,
16,4.0,0.5235069885140774,0.5235069885140774,5.5671,17.963,0.18,,,,,,,,,
18,4.5,0.5986394557322279,0.5986394557322279,5.1144,19.553,0.196,,,,,,,,,
20,5.0,,,,,,0.0237,0.9783485531806946,1.2608695652173915e-05,,,,,,
20,5.0,0.6065162906767558,0.6065162906767558,5.1352,19.473,0.195,,,,,,,,,
22,5.5,0.6503401360043227,0.6503401360043227,5.1392,19.458,0.195,,,,,,,,,
24,6.0,0.6475716064256727,0.6475716064256727,5.0958,19.624,0.196,,,,,,,,,
25,6.25,,,,,,0.0059,0.23038536310195923,1.0434782608695653e-05,,,,,,
26,6.5,0.653753026584506,0.653753026584506,5.1542,19.401,0.194,,,,,,,,,
28,7.0,0.6719160104485117,0.6719160104485117,5.1055,19.587,0.196,,,,,,,,,
30,7.5,,,,,,0.0026,0.0647149309515953,8.260869565217392e-06,,,,,,
30,7.5,0.6904109588540289,0.6904109588540289,5.1108,19.566,0.196,,,,,,,,,
32,8.0,0.6803278688023687,0.6803278688023687,5.0883,19.653,0.197,,,,,,,,,
34,8.5,0.6928281460933069,0.6928281460933069,5.0896,19.648,0.196,,,,,,,,,
35,8.75,,,,,,0.0011,0.4189853072166443,6.086956521739132e-06,,,,,,
36,9.0,0.6984126983625194,0.6984126983625194,5.1409,19.452,0.195,,,,,,,,,
38,9.5,0.6980392156360921,0.6980392156360921,5.0981,19.615,0.196,,,,,,,,,
40,10.0,,,,,,0.0002,0.021531449630856514,3.91304347826087e-06,,,,,,
40,10.0,0.6848958332831564,0.6848958332831564,5.1737,19.329,0.193,,,,,,,,,
42,10.5,0.6945169712291924,0.6945169712291924,5.0971,19.619,0.196,,,,,,,,,
44,11.0,0.6883116882615126,0.6883116882615126,5.0953,19.626,0.196,,,,,,,,,
45,11.25,,,,,,0.0002,0.05073610320687294,1.7391304347826088e-06,,,,,,
46,11.5,0.7168831168329337,0.7168831168329337,5.0907,19.644,0.196,,,,,,,,,
48,12.0,0.6993548386595071,0.6993548386595071,5.1438,19.441,0.194,,,,,,,,,
48,12.0,,,,,,,,,177.7411,6.751,0.27,4165641468641280.0,4.16564146864128,0.1460086749769592
